3num,tic,3CompanyID,3DirectorID,3DirectorName,3CompanyName,3RoleName,3DateStartRole,3DateEndRole,3Seniority,3ceo?,3Unnamed: 10,Active2020_May26_Dec31,RoleType
43,AUD,3118,1203207,Doctor Andrew Anagnost,AUTODESK INC,President/CEO,6/19/17,1/19/21,Executive Director,1,Doctor Andrew Anagnost,Yes,CEO
44,AZO,3154,49966,Bill Rhodes III,AUTOZONE INC,Chairman/President/CEO,6/6/07,1/2/24,Executive Director,1,Bill Rhodes III,Yes,CEO
45,AVB,3169,204883,Tim Naughton,AVALONBAY COMMUNITIES INC,Chairman/President/CEO,5/22/13,2/1/21,Executive Director,1,Tim Naughton,Yes,CEO
46,AVY,3210,530989,Mitch Butier,AVERY DENNISON CORP,Chairman/President/CEO,4/25/19,2/28/22,Executive Director,1,Mitch Butier,Yes,CEO
47,68V,3415,641184,Lorenzo Simonelli,BAKER HUGHES CO (Baker Hughes a GE Co prior to 10/2019),Chairman/President/CEO,10/2/17,,Executive Director,1,Lorenzo Simonelli,Yes,CEO
48,BKR,3415,641184,Lorenzo Simonelli,BAKER HUGHES CO (Baker Hughes a GE Co prior to 10/2019),Chairman/President/CEO,10/2/17,,Executive Director,1,Lorenzo Simonelli,Yes,CEO
49,BALL,3439,456592,John Hayes,BALL CORP,Chairman/President/CEO,4/24/13,1/1/21,Executive Director,1,John Hayes,Yes,CEO
50,BAX,3684,327852,Joe Almeida,BAXTER INTERNATIONAL INC,Chairman/President/CEO,1/1/16,,Executive Director,1,Joe Almeida,Yes,CEO
51,BBT.PRG,3718,39271,Kelly King,TRUIST FINANCIAL CORP (BB&T Corp prior to 12/2019),Chairman/CEO,12/20/16,9/12/21,Executive Director,1,Kelly King,Yes,CEO
52,BBT.PRH,3718,39271,Kelly King,TRUIST FINANCIAL CORP (BB&T Corp prior to 12/2019),Chairman/CEO,12/20/16,9/12/21,Executive Director,1,Kelly King,Yes,CEO
53,TFC,3718,39271,Kelly King,TRUIST FINANCIAL CORP (BB&T Corp prior to 12/2019),Chairman/CEO,12/20/16,9/12/21,Executive Director,1,Kelly King,Yes,CEO
54,TFC.PRF,3718,39271,Kelly King,TRUIST FINANCIAL CORP (BB&T Corp prior to 12/2019),Chairman/CEO,12/20/16,9/12/21,Executive Director,1,Kelly King,Yes,CEO
55,TFC.PRG,3718,39271,Kelly King,TRUIST FINANCIAL CORP (BB&T Corp prior to 12/2019),Chairman/CEO,12/20/16,9/12/21,Executive Director,1,Kelly King,Yes,CEO
56,TFC.PRH,3718,39271,Kelly King,TRUIST FINANCIAL CORP (BB&T Corp prior to 12/2019),Chairman/CEO,12/20/16,9/12/21,Executive Director,1,Kelly King,Yes,CEO
57,WRB,4078,82162,Rob Berkley Jr,W.R. BERKLEY CORP,President/CEO,10/31/15,,Executive Director,1,Rob Berkley Jr,Yes,CEO
58,WRB,4078,82207,Wm Berkley Sr,W.R. BERKLEY CORP,Chairman (Executive),10/31/15,,Executive Director,1,Wm Berkley Sr,Yes,TMT
59,BRH,4080,32543,Warren Buffett,BERKSHIRE HATHAWAY INC,Chairman/CEO,1/1/70,,Executive Director,1,Warren Buffett,No,CEO
60,BRK.A,4080,32543,Warren Buffett,BERKSHIRE HATHAWAY INC,Chairman/CEO,1/1/70,,Executive Director,1,Warren Buffett,No,CEO
61,BRK.B,4080,32543,Warren Buffett,BERKSHIRE HATHAWAY INC,Chairman/CEO,1/1/70,,Executive Director,1,Warren Buffett,No,CEO
62,BRYN,4080,32543,Warren Buffett,BERKSHIRE HATHAWAY INC,Chairman/CEO,1/1/70,,Executive Director,1,Warren Buffett,No,CEO
63,BRH,4080,40751,Charlie Munger,BERKSHIRE HATHAWAY INC,Vice Chairman,1/1/78,11/28/23,Executive Director,1,Charlie Munger,Yes,TMT
64,BRK.A,4080,40751,Charlie Munger,BERKSHIRE HATHAWAY INC,Vice Chairman,1/1/78,11/28/23,Executive Director,1,Charlie Munger,Yes,TMT
65,BRK.B,4080,40751,Charlie Munger,BERKSHIRE HATHAWAY INC,Vice Chairman,1/1/78,11/28/23,Executive Director,1,Charlie Munger,Yes,TMT
66,BRYN,4080,40751,Charlie Munger,BERKSHIRE HATHAWAY INC,Vice Chairman,1/1/78,11/28/23,Executive Director,1,Charlie Munger,Yes,TMT
67,BRH,4080,344171,Greg Abel,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,1/9/18,,Executive Director,1,Greg Abel,Yes,TMT
68,BRK.A,4080,344171,Greg Abel,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,1/9/18,,Executive Director,1,Greg Abel,Yes,TMT
69,BRK.B,4080,344171,Greg Abel,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,1/9/18,,Executive Director,1,Greg Abel,Yes,TMT
70,BRYN,4080,344171,Greg Abel,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,1/9/18,,Executive Director,1,Greg Abel,Yes,TMT
71,BRH,4080,1113697,Ajit Jain,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,1/9/18,,Executive Director,1,Ajit Jain,Yes,TMT
72,BRK.A,4080,1113697,Ajit Jain,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,1/9/18,,Executive Director,1,Ajit Jain,Yes,TMT
73,BRK.B,4080,1113697,Ajit Jain,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,1/9/18,,Executive Director,1,Ajit Jain,Yes,TMT
74,BRYN,4080,1113697,Ajit Jain,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,1/9/18,,Executive Director,1,Ajit Jain,Yes,TMT
75,BBY,4118,801207,Hubert Joly,BEST BUY CO INC,Chairman (Executive),6/11/19,6/11/20,Executive Director,1,Hubert Joly,Yes,TMT
76,BUY,4118,801207,Hubert Joly,BEST BUY CO INC,Chairman (Executive),6/11/19,6/11/20,Executive Director,1,Hubert Joly,Yes,TMT
77,BBY,4118,1713009,Corie Barry,BEST BUY CO INC,CEO,6/11/19,,Executive Director,1,Corie Barry,Yes,CEO
78,BUY,4118,1713009,Corie Barry,BEST BUY CO INC,CEO,6/11/19,,Executive Director,1,Corie Barry,Yes,CEO
79,BIO,4311,181631,Norman Schwartz,BIO RAD LABORATORIES INC,Chairman/President/CEO,1/1/12,,Executive Director,1,Norman Schwartz,Yes,CEO
80,BIO.B,4311,181631,Norman Schwartz,BIO RAD LABORATORIES INC,Chairman/President/CEO,1/1/12,,Executive Director,1,Norman Schwartz,Yes,CEO
81,BAC,4504,35043,Brian Moynihan,BANK OF AMERICA CORP,Chair/President/CEO,10/1/14,,Executive Director,1,Brian Moynihan,Yes,CEO
82,NCB,4504,35043,Brian Moynihan,BANK OF AMERICA CORP,Chair/President/CEO,10/1/14,,Executive Director,1,Brian Moynihan,Yes,CEO
83,BLK,4584,140463,Larry Fink,BLACKROCK INC,Chairman/CEO,1/1/98,,Executive Director,1,Larry Fink,Yes,CEO
84,BLQA,4584,140463,Larry Fink,BLACKROCK INC,Chairman/CEO,1/1/98,,Executive Director,1,Larry Fink,Yes,CEO
85,BGW,4839,1195691,Frederic Lissalde,BORGWARNER INC,President/CEO,8/1/18,,Executive Director,1,Frederic Lissalde,Yes,CEO
86,BWA,4839,1195691,Frederic Lissalde,BORGWARNER INC,President/CEO,8/1/18,,Executive Director,1,Frederic Lissalde,Yes,CEO
87,BXP,4863,491901,Owen Thomas,BOSTON PROPERTIES INC,CEO,4/2/13,5/19/22,Executive Director,1,Owen Thomas,Yes,CEO
88,BSX,4865,879252,Mike Mahoney,BOSTON SCIENTIFIC CORP,Chairman/President/CEO,5/3/16,,Executive Director,1,Mike Mahoney,Yes,CEO
89,BMY,5118,857412,Doctor Giovanni Caforio,BRISTOL-MYERS SQUIBB CO,Chairman/CEO,5/2/17,11/1/23,Executive Director,1,Doctor Giovanni Caforio,Yes,CEO
90,BMYMP,5118,857412,Doctor Giovanni Caforio,BRISTOL-MYERS SQUIBB CO,Chairman/CEO,5/2/17,11/1/23,Executive Director,1,Doctor Giovanni Caforio,Yes,CEO
91,BRM,5118,857412,Doctor Giovanni Caforio,BRISTOL-MYERS SQUIBB CO,Chairman/CEO,5/2/17,11/1/23,Executive Director,1,Doctor Giovanni Caforio,Yes,CEO
92,BF.A,5210,1113025,Lawson Whiting,BROWN FORMAN CORP,President/CEO,3/28/19,,Executive Director,1,Lawson Whiting,Yes,CEO
93,BF.B,5210,1113025,Lawson Whiting,BROWN FORMAN CORP,President/CEO,3/28/19,,Executive Director,1,Lawson Whiting,Yes,CEO
94,,5320,500231,Greg Heckman,BUNGE GLOBAL SA (Bunge Ltd prior to 11/2023),CEO,4/25/19,,Executive Director,1,Greg Heckman,Yes,CEO
95,BG,5320,500231,Greg Heckman,BUNGE GLOBAL SA (Bunge Ltd prior to 11/2023),CEO,4/25/19,,Executive Director,1,Greg Heckman,Yes,CEO
96,CTRA,5465,202913,Dan Dinges,COTERRA ENERGY INC (Cabot Oil & Gas Corp prior to 10/2021),Chairman/President/CEO,5/2/02,10/1/21,Executive Director,1,Dan Dinges,Yes,CEO
97,CDNS,5480,182411,Lip-Bu Tan,CADENCE DESIGN SYSTEMS INC,CEO,11/16/17,12/15/21,Executive Director,1,Lip-Bu Tan,Yes,CEO
98,CPB,5620,1122227,Mark Clouse,CAMPBELL SOUP CO,President/CEO,1/22/19,,Executive Director,1,Mark Clouse,Yes,CEO
99,CSC,5620,1122227,Mark Clouse,CAMPBELL SOUP CO,President/CEO,1/22/19,,Executive Director,1,Mark Clouse,Yes,CEO
100,CFX,5734,48786,Rich Fairbank,CAPITAL ONE FINANCIAL CORP,Chairman/CEO,4/24/03,,Executive Director,1,Rich Fairbank,Yes,CEO
101,COF,5734,48786,Rich Fairbank,CAPITAL ONE FINANCIAL CORP,Chairman/CEO,4/24/03,,Executive Director,1,Rich Fairbank,Yes,CEO
102,CAH,5811,517277,Mike Kaufmann,CARDINAL HEALTH INC,CEO,9/1/19,9/1/22,Executive Director,1,Mike Kaufmann,Yes,CEO
103,CLH,5811,517277,Mike Kaufmann,CARDINAL HEALTH INC,CEO,9/1/19,9/1/22,Executive Director,1,Mike Kaufmann,Yes,CEO
104,CCL,5867,27496,Micky Arison,CARNIVAL CORP,Chairman (Executive),7/3/13,,Executive Director,1,Micky Arison,Yes,TMT
105,CCL,5867,35264,Arnold Donald,CARNIVAL CORP,President/CEO,7/3/13,1/1/22,Executive Director,1,Arnold Donald,Yes,CEO
106,CAT,6052,1079119,Jim Umpleby III,CATERPILLAR INC,Chairman/CEO,12/12/18,,Executive Director,1,Jim Umpleby III,Yes,CEO
107,CAT1,6052,1079119,Jim Umpleby III,CATERPILLAR INC,Chairman/CEO,12/12/18,,Executive Director,1,Jim Umpleby III,Yes,CEO
108,CATR,6052,1079119,Jim Umpleby III,CATERPILLAR INC,Chairman/CEO,12/12/18,,Executive Director,1,Jim Umpleby III,Yes,CEO
109,CBRE,6083,272769,Bob Sulentic,CBRE GROUP INC (CB Richard Ellis Group Inc prior to 10/2011),President/CEO,12/1/12,11/17/23,Executive Director,1,Bob Sulentic,Yes,CEO
110,PARA,6098,23537,Bob Bakish,PARAMOUNT GLOBAL (Viacomcbs Inc prior to 02/2022),President/CEO,12/4/19,,Executive Director,1,Bob Bakish,Yes,CEO
111,PARAA,6098,23537,Bob Bakish,PARAMOUNT GLOBAL (Viacomcbs Inc prior to 02/2022),President/CEO,12/4/19,,Executive Director,1,Bob Bakish,Yes,CEO
112,CNC,6261,201946,Michael Neidorff,CENTENE CORP,Chairman/President/CEO,4/23/19,9/7/21,Executive Director,1,Michael Neidorff,Yes,CEO
113,CNP,6271,81927,Milton Carroll,CENTERPOINT ENERGY INC,Chairman (Executive),6/1/13,7/21/21,Executive Director,1,Milton Carroll,Yes,TMT
114,,6353,730057,Jeff Storey,LUMEN TECHNOLOGIES INC (CenturyLink Inc prior to 09/2020),President/CEO,5/23/18,11/7/22,Executive Director,1,Jeff Storey,Yes,CEO
115,CYT,6353,730057,Jeff Storey,LUMEN TECHNOLOGIES INC (CenturyLink Inc prior to 09/2020),President/CEO,5/23/18,11/7/22,Executive Director,1,Jeff Storey,Yes,CEO
116,LUMN,6353,730057,Jeff Storey,LUMEN TECHNOLOGIES INC (CenturyLink Inc prior to 09/2020),President/CEO,5/23/18,11/7/22,Executive Director,1,Jeff Storey,Yes,CEO
117,CERN,6375,1370253,D Shafer,CERNER CORP (De-listed 06/2022),Chairman/CEO,2/1/18,10/1/21,Executive Director,1,D Shafer,Yes,CEO
118,CRE,6375,1370253,D Shafer,CERNER CORP (De-listed 06/2022),Chairman/CEO,2/1/18,10/1/21,Executive Director,1,D Shafer,Yes,CEO
119,FIS,6382,516521,Gary Norcross,FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006),Chairman/President/CEO,5/30/18,3/9/21,Executive Director,1,Gary Norcross,Yes,CEO
120,CHRW,6438,67247,John Wiehoff,CH ROBINSON WORLDWIDE INC,Chairman,5/9/19,5/7/20,Executive Director,1,John Wiehoff,No,TMT
121,CHRW,6438,1656763,Bob Biesterfeld Jr,CH ROBINSON WORLDWIDE INC,President/CEO,5/9/19,12/31/22,Executive Director,1,Bob Biesterfeld Jr,Yes,CEO
122,CHV,6627,343163,Mike Wirth,CHEVRON CORP,Chairman/CEO,2/1/18,,Executive Director,1,Mike Wirth,Yes,CEO
123,CVX,6627,343163,Mike Wirth,CHEVRON CORP,Chairman/CEO,2/1/18,,Executive Director,1,Mike Wirth,Yes,CEO
124,CHD,6779,336620,Matthew Farrell,CHURCH & DWIGHT CO INC,Chairman/President/CEO,5/2/19,,Executive Director,1,Matthew Farrell,Yes,CEO
125,CI,6837,486024,David Cordani,THE CIGNA GROUP (Cigna Corp prior to 02/2023),President/CEO,12/25/09,1/1/22,Executive Director,1,David Cordani,Yes,CEO
126,CINF,6863,270963,Steve Johnston,CINCINNATI FINANCIAL CORP,President/CEO,5/2/11,5/2/20,Executive Director,1,Steve Johnston,No,CEO
127,CIT,6877,38311,Scott Farmer,CINTAS CORP,Chairman/CEO,9/30/16,5/31/21,Executive Director,1,Scott Farmer,Yes,CEO
128,CTAS,6877,38311,Scott Farmer,CINTAS CORP,Chairman/CEO,9/30/16,5/31/21,Executive Director,1,Scott Farmer,Yes,CEO
129,CIS,6908,536628,Chuck Robbins,CISCO SYSTEMS INC,Chair/CEO,12/11/17,,Executive Director,1,Chuck Robbins,Yes,CEO
130,CSCO,6908,536628,Chuck Robbins,CISCO SYSTEMS INC,Chair/CEO,12/11/17,,Executive Director,1,Chuck Robbins,Yes,CEO
131,C,6930,604908,Mike Corbat,CITIGROUP INC,CEO,10/15/12,2/26/21,Executive Director,1,Mike Corbat,Yes,CEO
132,TRVC,6930,604908,Mike Corbat,CITIGROUP INC,CEO,10/15/12,2/26/21,Executive Director,1,Mike Corbat,Yes,CEO
133,CTX,6959,205153,David Henshall,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,7/10/17,10/1/21,Executive Director,1,David Henshall,Yes,CEO
134,CTXS,6959,205153,David Henshall,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,7/10/17,10/1/21,Executive Director,1,David Henshall,Yes,CEO
135,CLX,7089,750963,Benno Dorer,CLOROX COMPANY (THE),Chairman/CEO,8/15/16,9/14/20,Executive Director,1,Benno Dorer,Yes,CEO
136,CXX,7089,750963,Benno Dorer,CLOROX COMPANY (THE),Chairman/CEO,8/15/16,9/14/20,Executive Director,1,Benno Dorer,Yes,CEO
137,CMS,7147,1094129,Patti Poppe,CMS ENERGY CORP,President/CEO,7/1/16,12/1/20,Executive Director,1,Patti Poppe,Yes,CEO
138,CSG,7147,1094129,Patti Poppe,CMS ENERGY CORP,President/CEO,7/1/16,12/1/20,Executive Director,1,Patti Poppe,Yes,CEO
139,TPR,7173,271683,Jide Zeitlin,TAPESTRY INC (Coach Inc prior to 10/2017),Chairman/CEO,9/4/19,7/20/20,Executive Director,1,Jide Zeitlin,Yes,CEO
140,KO,7204,877797,James Quincey,COCA-COLA CO,Chairman/CEO,4/24/19,,Executive Director,1,James Quincey,Yes,CEO
141,CTSH,7256,515842,Brian Humphries,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CEO,4/1/19,1/12/23,Executive Director,1,Brian Humphries,Yes,CEO
142,CCZ,7387,35803,Brian Roberts,COMCAST CORP (AT&T Comcast Corp prior to 11/2002),Chairman/President/CEO,5/25/04,10/11/22,Executive Director,1,Brian Roberts,Yes,CEO
143,CMCSA,7387,35803,Brian Roberts,COMCAST CORP (AT&T Comcast Corp prior to 11/2002),Chairman/President/CEO,5/25/04,10/11/22,Executive Director,1,Brian Roberts,Yes,CEO
144,DXC,7584,205612,Mike Salvino,DXC TECHNOLOGY CO (Computer Sciences Corp prior to 04/2017),President/CEO,9/12/19,7/26/22,Executive Director,1,Mike Salvino,Yes,CEO
145,CAG,7619,837621,Sean Connolly,CONAGRA BRANDS INC (Conagra Foods Inc prior to 11/2016),President/CEO,4/6/15,,Executive Director,1,Sean Connolly,Yes,CEO
146,CAO,7619,837621,Sean Connolly,CONAGRA BRANDS INC (Conagra Foods Inc prior to 11/2016),President/CEO,4/6/15,,Executive Director,1,Sean Connolly,Yes,CEO
147,ED,7705,1074910,John McAvoy,CONSOLIDATED EDISON INC,Chairman/President/CEO,5/12/14,12/29/20,Executive Director,1,John McAvoy,Yes,CEO
148,EDC,7705,1074910,John McAvoy,CONSOLIDATED EDISON INC,Chairman/President/CEO,5/12/14,12/29/20,Executive Director,1,John McAvoy,Yes,CEO
149,STZ,7753,82517,Doctor Richard Sands,CONSTELLATION BRANDS INC,Vice Chairman (Executive),3/1/19,1/1/22,Executive Director,1,Doctor Richard Sands,Yes,TMT
150,STZ.B,7753,82517,Doctor Richard Sands,CONSTELLATION BRANDS INC,Vice Chairman (Executive),3/1/19,1/1/22,Executive Director,1,Doctor Richard Sands,Yes,TMT
151,STZ,7753,82522,Rob Sands,CONSTELLATION BRANDS INC,Chairman (Executive),3/1/19,1/1/22,Executive Director,1,Rob Sands,Yes,TMT
152,STZ.B,7753,82522,Rob Sands,CONSTELLATION BRANDS INC,Chairman (Executive),3/1/19,1/1/22,Executive Director,1,Rob Sands,Yes,TMT
153,STZ,7753,1130665,Bill Newlands Jr,CONSTELLATION BRANDS INC,President/CEO,3/1/19,,Executive Director,1,Bill Newlands Jr,Yes,CEO
154,STZ.B,7753,1130665,Bill Newlands Jr,CONSTELLATION BRANDS INC,President/CEO,3/1/19,,Executive Director,1,Bill Newlands Jr,Yes,CEO
155,COO,7836,517326,Al White III,COOPER COMPANIES INC,President/CEO,5/1/18,,Executive Director,1,Al White III,Yes,CEO
156,TAP,7847,1202080,Gavin Hattersley,MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020),President/CEO,9/28/19,,Executive Director,1,Gavin Hattersley,Yes,CEO
157,TAP.A,7847,1202080,Gavin Hattersley,MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020),President/CEO,9/28/19,,Executive Director,1,Gavin Hattersley,Yes,CEO
158,CPRT,7852,183351,Jay Adair,COPART INC,CEO,2/12/10,4/1/22,Executive Director,1,Jay Adair,Yes,CEO
159,CPRT,7852,183354,Willis Johnson,COPART INC,Chairman (Executive),2/12/10,,Executive Director,1,Willis Johnson,Yes,TMT
160,CSGP,8021,201870,Andy Florance,COSTAR GROUP INC,President/CEO,1/1/95,,Executive Director,1,Andy Florance,Yes,CEO
161,COST,8022,43701,W Jelinek,COSTCO WHOLESALE CORP,President/CEO,1/1/12,2/2/22,Executive Director,1,W Jelinek,Yes,CEO
162,CTO,8022,43701,W Jelinek,COSTCO WHOLESALE CORP,President/CEO,1/1/12,2/2/22,Executive Director,1,W Jelinek,Yes,CEO
163,CCI,8304,620002,Jay Brown,CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022),President/CEO,6/1/16,1/16/24,Executive Director,1,Jay Brown,Yes,CEO
164,CSX,8383,331094,Jim Foote,CSX CORP,President/CEO,12/22/17,9/26/22,Executive Director,1,Jim Foote,Yes,CEO
165,CXR,8383,331094,Jim Foote,CSX CORP,President/CEO,12/22/17,9/26/22,Executive Director,1,Jim Foote,Yes,CEO
166,CMI,8426,203776,Tom Linebarger,CUMMINS INC,Chairman/CEO,1/1/12,8/1/22,Executive Director,1,Tom Linebarger,Yes,CEO
167,CUM,8426,203776,Tom Linebarger,CUMMINS INC,Chairman/CEO,1/1/12,8/1/22,Executive Director,1,Tom Linebarger,Yes,CEO
