1num,gvkey,2num,tic,3num,1conm_x,2Company,3CompanyName,1ceo_minority,1ethnicity (from boardex),2BE,1ceo_race(black),ceo_race,1ceo_name,2First,2Last,3DirectorName,3Unnamed: 10,ceo_name,2Female,ceo_gender,2ExecType,3ceo?,3RoleName,3Seniority,3DateStartRole,3DateEndRole,2AnnDate,2permno,2Confounded,2Interim,3CompanyID,3DirectorID
14,5680,258,HD,281,HOME DEPOT INC,Home Depot,HOME DEPOT INC,0,CAUCASIAN/WHITE,1,,black,,Teresa,Wynn Roseborough,Craig Menear,Craig Menear,Teresa Wynn Roseborough,1,Female,TMT,1,Chairman/President/CEO,Executive Director,2/2/15,10/5/20,10/7/11,66181,0,,14982,536170
15,64853,,QRVO,702,QORVO INC,,QORVO INC,0,CAUCASIAN/WHITE,,,,,,,Bob Bruggeworth,Bob Bruggeworth,,,,,1,President/CEO,Executive Director,1/2/15,C,,,,,2204149,181113
16,1449,165,AFL,,AFLAC INC,A_ac,,0,CAUCASIAN/WHITE,1,,black,,Audrey,Boone Tillman,,,Audrey Boone Tillman,1,Female,TMT,,,,,,5/5/14,57904,1,,,
16,1449,251,AFL,,AFLAC INC,A_ac,,0,CAUCASIAN/WHITE,1,,black,,Teresa,White,,,Teresa White,1,Female,TMT,,,,,,9/29/14,57904,1,,,
17,145977,,AAP,585,ADVANCE AUTO PARTS INC,,ADVANCE AUTO PARTS INC,0,CAUCASIAN/WHITE,,,,,,,Tom Greco,Tom Greco,,,,,1,President/CEO,Executive Director,8/14/16,9/11/23,,,,,95856,1013356
18,29733,,MLM,359,MARTIN MARIETTA MATERIALS,,MARTIN MARIETTA MATERIALS INC,0,CAUCASIAN/WHITE,,,,,,,Ward Nye,Ward Nye,,,,,1,Chairman/President/CEO,Executive Director,5/22/14,C,,,,,19739,841525
19,122841,,RHT,639,RED HAT INC,,RELIQ HEALTH TECHNOLOGIES INC (Moseda Technologies Inc prior to 05/2016),0,,,,,,,,Doctor Lisa Crossley,Doctor Lisa Crossley,,,,,1,CEO,Executive Director,1/18/16,12/11/23,,,,,1243400,1664864
20,4605,,FRT,234,FEDERAL REALTY INVESTMENT TR,,FEDERAL REALTY INVESTMENT TRUST,0,CAUCASIAN/WHITE,,,,,,,Don Wood,Don Wood,,,,,1,President/CEO,Executive Director,1/1/03,3/11/21,,,,,11649,332472
21,7063,,HST,286,HOST HOTELS & RESORTS INC,,HOST HOTELS & RESORTS INC,0,CAUCASIAN/WHITE,,,,,,,Dick Marriott,Dick Marriott,,,,,1,Chairman,Executive Director,12/29/98,C,,,,,15093,38651
21,7063,,HST,288,HOST HOTELS & RESORTS INC,,HOST HOTELS & RESORTS INC,0,CAUCASIAN/WHITE,,,,,,,Jim Risoleo,Jim Risoleo,,,,,1,President/CEO,Executive Director,1/1/17,C,,,,,15093,205949
22,6774,189,LMT,342,LOCKHEED MARTIN CORP,Lockheed Martin,LOCKHEED MARTIN CORP,0,CAUCASIAN/WHITE,1,,black,,Linda,Gooden,Marillyn Hewson,Marillyn Hewson,Linda Gooden,1,Female,TMT,1,Chairman/President/CEO,Executive Director,1/1/14,6/15/20,12/7/06,21178,1,,19048,202548
23,28930,,MAR,353,MARRIOTT INTL INC,,MARRIOTT INTERNATIONAL INC,0,CAUCASIAN/WHITE,,,,,,,Bill Marriott Jr,Bill Marriott Jr,,,,,1,Chairman (Executive),Executive Director,3/31/12,5/6/22,,,,,19706,24849
23,28930,,MAR,355,MARRIOTT INTL INC,,MARRIOTT INTERNATIONAL INC,0,CAUCASIAN/WHITE,,,,,,,Arne Sorenson,Arne Sorenson,,,,,1,President/CEO,Executive Director,3/31/12,2/15/21,,,,,19706,38571
24,14934,,DVN,180,DEVON ENERGY CORP,,DEVON ENERGY CORP,0,CAUCASIAN/WHITE,,,,,,,Dave Hager,Dave Hager,,,,,1,President/CEO,Executive Director,6/8/16,1/7/21,,,,,9103,62347
25,20116,,PAYC,695,PAYCOM SOFTWARE INC,,PAYCOM SOFTWARE INC,0,CAUCASIAN/WHITE,,,,,,,Chad Richison,Chad Richison,,,,,1,Chairman/President/CEO,Executive Director,8/1/16,2/7/24,,,,,2061294,1388163
26,29392,,EMN,196,EASTMAN CHEMICAL CO,,EASTMAN CHEMICAL CO,0,CAUCASIAN/WHITE,,,,,,,Mark Costa,Mark Costa,,,,,1,Chair/CEO,Executive Director,6/30/14,C,,,,,9940,534777
27,29751,,ALB,,ALBEMARLE CORP,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
28,7647,,BAC,81,BANK OF AMERICA CORP,,BANK OF AMERICA CORP,0,CAUCASIAN/WHITE,,,,,,,Brian Moynihan,Brian Moynihan,,,,,1,Chair/President/CEO,Executive Director,10/1/14,C,,,,,4504,35043
28,7647,,BAC,550,BANK OF AMERICA CORP,,VERIZON COMMUNICATIONS INC,0,CAUCASIAN/WHITE,,,,,,,Hans Vestberg,Hans Vestberg,,,,,1,Chairman/CEO,Executive Director,3/8/19,C,,,,,32507,454544
29,4093,,DUK,623,DUKE ENERGY CORP,,DUKE ENERGY CORP,0,CAUCASIAN/WHITE,,,,,,,Lynn Good,Lynn Good,,,,,1,Chairman/President/CEO,Executive Director,1/1/16,C,,,,,867887,204347
30,1300,,HON,283,HONEYWELL INTERNATIONAL INC,,HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000),0,CAUCASIAN/WHITE,,,,,,,Darius Adamczyk,Darius Adamczyk,,,,,1,Chairman/CEO,Executive Director,4/23/18,6/1/23,,,,,15029,1205682
31,30098,,IR,299,INGERSOLL RAND INC,,TRANE TECHNOLOGIES PLC (Ingersoll-Rand PLC prior to 03/2020),0,CAUCASIAN/WHITE,,,,,,,Mike Lamach,Mike Lamach,,,,,1,Chairman/CEO,Executive Director,6/4/10,7/1/21,,,,,16041,336406
31,30098,,IR,712,INGERSOLL RAND INC,,INGERSOLL RAND INC (Gardner Denver Holdings Inc prior to 03/2020),0,CAUCASIAN/WHITE,,,,,,,Vicente Reynal,Vicente Reynal,,,,,1,President/CEO,Executive Director,5/12/17,11/9/21,,,,,2656398,1912562
32,8030,,NUE,,NUCOR CORP,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
33,9555,,SEE,491,SEALED AIR CORP,,SEALED AIR CORP,0,CAUCASIAN/WHITE,,,,,,,Ted Doheny II,Ted Doheny II,,,,,1,President/CEO,Executive Director,1/1/18,10/23/23,,,,,27418,516421
34,11856,,TFC,53,TRUIST FINANCIAL CORP,,TRUIST FINANCIAL CORP (BB&T Corp prior to 12/2019),0,CAUCASIAN/WHITE,,,,,,,Kelly King,Kelly King,,,,,1,Chairman/CEO,Executive Director,12/20/16,9/12/21,,,,,3718,39271
35,13700,,XRAY,179,DENTSPLY SIRONA INC,,DENTSPLY SIRONA INC (DENTSPLY International Inc prior to 02/2016),0,CAUCASIAN/WHITE,,,,,,,Don Casey Jr,Don Casey Jr,,,,,1,CEO,Executive Director,2/12/18,4/19/22,,,,,9023,590656
36,141384,,ALGN,14,ALIGN TECHNOLOGY INC,,ALIGN TECHNOLOGY INC,0,CAUCASIAN/WHITE,,,,,,,Joe Hogan,Joe Hogan,,,,,1,President/CEO,Executive Director,6/1/15,C,,,,,1384,32461
37,14590,,FCX,249,FREEPORT-MCMORAN INC,,FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014),0,CAUCASIAN/WHITE,,,,,,,Richard Adkerson,Richard Adkerson,,,,,1,Vice Chairman/President/CEO,Executive Director,5/31/13,2/2/21,,,,,12493,206065
38,27965,,MCHP,373,MICROCHIP TECHNOLOGY INC,,MICROCHIP TECHNOLOGY INC,1,INDIAN/SOUTH ASIAN,,,,,,,Steve Sanghi,Steve Sanghi,,,,,1,Chairman/CEO,Executive Director,2/3/16,3/1/21,,,,,20566,61502
39,15855,134,NLOK,,NORTONLIFELOCK INC,Symantec,,0,CAUCASIAN/WHITE,1,,black,,John,Thompson,,,John Thompson,0,Male,CEO,,,,,,4/14/99,75607,0,0,,
39,15855,234,NLOK,,NORTONLIFELOCK INC,Symantec,,0,CAUCASIAN/WHITE,1,,black,,Scott,Taylor,,,Scott Taylor,0,Male,TMT,,,,,,8/1/08,75607,1,,,
40,134932,,ON,410,ON SEMICONDUCTOR CORP,,ON SEMICONDUCTOR CORP,0,CAUCASIAN/WHITE,,,,,,,Keith Jackson,Keith Jackson,,,,,1,President/CEO,Executive Director,11/19/02,12/7/20,,,,,23134,200418
41,1075,,PNW,431,PINNACLE WEST CAPITAL CORP,,PINNACLE WEST CAPITAL CORP,0,CAUCASIAN/WHITE,,,,,,,Jeff Guldner,Jeff Guldner,,,,,1,Chairman/President/CEO,Executive Director,11/15/19,C,,,,,24493,891832
42,112168,,RSG,467,REPUBLIC SERVICES INC,,REPUBLIC SERVICES INC,0,CAUCASIAN/WHITE,,,,,,,Don Slager,Don Slager,,,,,1,CEO,Executive Director,5/1/19,5/21/21,,,,,26097,205673
43,31587,,DLTR,182,DOLLAR TREE INC,,DOLLAR TREE INC,0,CAUCASIAN/WHITE,,,,,,,Bob Sasser,Bob Sasser,,,,,1,Chairman (Executive),Executive Director,9/18/17,3/16/22,,,,,9474,106603
43,31587,,DLTR,184,DOLLAR TREE INC,,DOLLAR TREE INC,0,CAUCASIAN/WHITE,,,,,,,Gary Philbin,Gary Philbin,,,,,1,CEO,Executive Director,12/9/19,7/20/20,,,,,9474,452406
44,40614,,CEG,,CONSTELLATION ENE CORP,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
45,12138,108,TROW,443,PRICE (T. ROWE) GROUP,T. Rowe Price Group,T ROWE PRICE GROUP INC,0,CAUCASIAN/WHITE,0,,non-black,,William,Stromberg,Bill Stromberg,Bill Stromberg,William Stromberg,0,Male,CEO,1,Chairman/President/CEO,Executive Director,4/25/19,2/11/21,5/6/15,10138,1,0,25020,489855
46,165052,,UAA,,UNDER ARMOUR INC,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
47,160479,,EXR,602,EXTRA SPACE STORAGE INC,,EXTRA SPACE STORAGE INC,0,CAUCASIAN/WHITE,,,,,,,Joe Margolis,Joe Margolis,,,,,1,CEO,Executive Director,5/18/17,C,,,,,600874,375394
48,11687,,ZION,578,ZIONS BANCORPORATION NA,,ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018),0,CAUCASIAN/WHITE,,,,,,,Harris Simmons,Harris Simmons,,,,,1,Chairman/CEO,Executive Director,3/4/14,C,,,,,34139,57861
49,3851,,DAL,178,DELTA AIR LINES INC,,DELTA AIR LINES INC,0,CAUCASIAN/WHITE,,,,,,,Ed Bastian,Ed Bastian,,,,,1,CEO,Executive Director,5/2/16,C,,,,,8946,333894
50,4423,,EFX,211,EQUIFAX INC,,EQUIFAX INC,0,CAUCASIAN/WHITE,,,,,,,Mark Begor,Mark Begor,,,,,1,CEO,Executive Director,4/16/18,C,,,,,10896,202312
50,4423,,EFX,649,EQUIFAX INC,,ENERFLEX LTD,0,CAUCASIAN/WHITE,,,,,,,Marc Rossiter,Marc Rossiter,,,,,1,President/CEO,Executive Director,5/3/19,C,,,,,1630130,1385042
51,184700,,FLT,655,FLEETCOR TECHNOLOGIES INC,,FLEETCOR TECHNOLOGIES INC,0,CAUCASIAN/WHITE,,,,,,,Ron Clarke,Ron Clarke,,,,,1,Chairman/President/CEO,Executive Director,12/15/10,C,,,,,1677118,1058760
51,184700,,FLT,674,FLEETCOR TECHNOLOGIES INC,,DRONE DELIVERY CANADA CORP (Asher Resources Corp prior to 06/2016),0,CAUCASIAN/WHITE,,,,,,,Mike Zahra,Mike Zahra,,,,,1,President/CEO,Executive Director,6/10/19,2/22/22,,,,,1894801,554070
52,141913,,GPN,261,GLOBAL PAYMENTS INC,,GLOBAL PAYMENTS INC,0,CAUCASIAN/WHITE,,,,,,,Jeff Sloan,Jeff Sloan,,,,,1,CEO,Executive Director,6/30/14,6/1/23,,,,,13417,1076347
53,163610,,ICE,616,INTERCONTINENTAL EXCHANGE,,INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014),0,CAUCASIAN/WHITE,,,,,,,Jeff Sprecher,Jeff Sprecher,,,,,1,Chairman/CEO,Executive Director,11/1/02,C,,,,,815224,489174
53,163610,,ICE,668,INTERCONTINENTAL EXCHANGE,,CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999),0,CAUCASIAN/WHITE,,,,,,,Joey St-Aubin,Joey St-Aubin,,,,,1,President/CEO,Executive Director,3/6/09,C,,,,,1806144,1194094
54,29804,,IVZ,29,INVESCO LTD,,INVESCO LTD (Invesco PLC prior to 12/2007),0,CAUCASIAN/WHITE,,,,,,,Marty Flanagan,Marty Flanagan,,,,,1,President/CEO,Executive Director,8/1/05,6/30/23,,,,,2129,36584
55,3144,177,KO,140,COCA-COLA CO,Coca-Cola,COCA-COLA CO,0,CAUCASIAN/WHITE,1,,black,,Alexander,Cummings,James Quincey,James Quincey,Alexander Cummings,0,Male,TMT,1,Chairman/CEO,Executive Director,4/24/19,C,7/17/08,11308,1,,7204,877797
55,3144,221,KO,140,COCA-COLA CO,Coca-Cola,COCA-COLA CO,0,CAUCASIAN/WHITE,1,,black,,Vicki,Palmer,James Quincey,James Quincey,Vicki Palmer,1,Female,TMT,1,Chairman/CEO,Executive Director,4/24/19,C,1/13/04,11308,1,,7204,877797
55,3144,244,KO,140,COCA-COLA CO,Coca-Cola,COCA-COLA CO,0,CAUCASIAN/WHITE,1,,black,,Kathy,Waller,James Quincey,James Quincey,Kathy Waller,1,Female,TMT,1,Chairman/CEO,Executive Director,4/24/19,C,2/20/14,11308,1,,7204,877797
56,7923,,NSC,395,NORFOLK SOUTHERN CORP,,NORFOLK SOUTHERN CORP,0,CAUCASIAN/WHITE,,,,,,,Jim Squires,Jim Squires,,,,,1,Chairman/President/CEO,Executive Director,10/1/15,12/1/21,,,,,22412,534106
57,7875,,NWL,392,NEWELL BRANDS INC,,NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016),1,INDIAN/SOUTH ASIAN,,,,,,,Ravi Saligram,Ravi Saligram,,,,,1,President/CEO,Executive Director,10/2/19,5/5/22,,,,,22048,447647
58,8823,,PHM,455,PULTEGROUP INC,,PULTEGROUP INC,0,CAUCASIAN/WHITE,,,,,,,Ryan Marshall,Ryan Marshall,,,,,1,President/CEO,Executive Director,9/8/16,C,,,,,25407,1308442
59,9225,,ROL,475,ROLLINS INC,,ROLLINS INC,0,CAUCASIAN/WHITE,,,,,,,Richard Rollins Sr,Richard Rollins Sr,,,,,1,Chairman,Executive Director,7/24/01,8/17/20,,,,,26519,44241
59,9225,,ROL,476,ROLLINS INC,,ROLLINS INC,0,CAUCASIAN/WHITE,,,,,,,Gary Rollins,Gary Rollins,,,,,1,Vice Chairman/CEO,Executive Director,1/22/13,8/25/20,,,,,26519,141669
60,9850,124,SO,501,SOUTHERN CO,Georgia Power,SOUTHERN CO,0,CAUCASIAN/WHITE,1,,black,,Christopher,Womack,Tom Fanning,Tom Fanning,Christopher Womack,0,Male,CEO,1,Chairman/President/CEO,Executive Director,12/1/10,3/31/23,5/26/21,18411,0,0,28665,325858
60,9850,257,SO,501,SOUTHERN CO,Southern Company,SOUTHERN CO,0,CAUCASIAN/WHITE,1,,black,,Christopher,Womack,Tom Fanning,Tom Fanning,Christopher Womack,0,Male,TMT,1,Chairman/President/CEO,Executive Director,12/1/10,3/31/23,12/22/08,18411,0,,28665,325858
61,10920,75,UPS,545,UNITED PARCEL SERVICE INC,United Parcel Service,UNITED PARCEL SERVICE (UPS) INC,0,CAUCASIAN/WHITE,0,,non-black,,Michael,Eskew,David Abney,David Abney,Michael Eskew,0,Male,CEO,1,Chairman/CEO,Executive Director,2/10/16,6/1/20,8/16/01,87447,0,0,32137,41806
62,29830,,WRK,704,WESTROCK CO,,WESTROCK CO,0,CAUCASIAN/WHITE,,,,,,,Steve Voorhees,Steve Voorhees,,,,,1,President/CEO,Executive Director,7/1/15,3/15/21,,,,,2302775,325766
63,11811,,JKHY,272,HENRY (JACK) & ASSOCIATES,,JACK HENRY & ASSOCIATES INC,0,CAUCASIAN/WHITE,,,,,,,Dave Foss,Dave Foss,,,,,1,President/CEO,Executive Director,7/1/17,7/1/21,,,,,14668,836736
64,17928,,IQV,678,IQVIA HOLDINGS INC,,IQVIA HOLDINGS INC (Quintiles IMS Holdings Inc prior to 11/2017),0,CAUCASIAN/WHITE,,,,,,,Ari Bousbib,Ari Bousbib,,,,,1,Chairman/President/CEO,Executive Director,10/3/16,C,,,,,1951118,33049
65,3336,,DXC,144,DXC TECHNOLOGY CO,,DXC TECHNOLOGY CO (Computer Sciences Corp prior to 04/2017),0,CAUCASIAN/WHITE,,,,,,,Mike Salvino,Mike Salvino,,,,,1,President/CEO,Executive Director,9/12/19,7/26/22,,,,,7584,205612
66,170750,,FANG,675,DIAMONDBACK ENERGY INC,,DIAMONDBACK ENERGY INC,0,CAUCASIAN/WHITE,,,,,,,Travis Stice,Travis Stice,,,,,1,CEO,Executive Director,1/1/17,2/22/22,,,,,1895607,1277021
67,8543,,MO,,ALTRIA GROUP INC,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
68,145701,,PFG,445,PRINCIPAL FINANCIAL GRP INC,,PRINCIPAL FINANCIAL GROUP INC,0,CAUCASIAN/WHITE,,,,,,,Dan Houston,Dan Houston,,,,,1,Chairman/President/CEO,Executive Director,5/17/16,C,,,,,25087,333969
69,30990,,COF,101,CAPITAL ONE FINANCIAL CORP,,CAPITAL ONE FINANCIAL CORP,0,CAUCASIAN/WHITE,,,,,,,Rich Fairbank,Rich Fairbank,,,,,1,Chairman/CEO,Executive Director,4/24/03,C,,,,,5734,48786
70,5046,,GD,252,GENERAL DYNAMICS CORP,,GENERAL DYNAMICS CORP,0,CAUCASIAN/WHITE,,,,,,,Phebe Novakovic,Phebe Novakovic,,,,,1,Chairman/CEO,Executive Director,1/1/13,C,,,,,12984,45561
71,5643,,HLT,279,HILTON WORLDWIDE HOLDINGS,,HILTON HOTELS CORP (De-listed 10/2007),0,CAUCASIAN/WHITE,,,,,,,Gregory Dillon,Gregory Dillon,,,,,1,Vice Chairman,Executive Director,1/1/96,N,,,,,14812,85077
71,5643,,HLT,693,HILTON WORLDWIDE HOLDINGS,,HILTON WORLDWIDE HOLDINGS INC,0,CAUCASIAN/WHITE,,,,,,,Chris Nassetta,Chris Nassetta,,,,,1,President/CEO,Executive Director,12/12/13,C,,,,,2022926,180239
72,165123,,LDOS,609,LEIDOS HOLDINGS INC,,LEIDOS HOLDINGS INC (SAIC Inc prior to 09/2013),0,CAUCASIAN/WHITE,,,,,,,Roger Krone,Roger Krone,,,,,1,Chairman/CEO,Executive Director,3/20/15,5/3/23,,,,,660090,881227
73,7985,,NOC,398,NORTHROP GRUMMAN CORP,,NORTHROP GRUMMAN CORP,0,CAUCASIAN/WHITE,,,,,,,Kathy Warden,Kathy Warden,,,,,1,Chair/President/CEO,Executive Director,8/1/19,C,,,,,22521,1255302
74,66368,,VRSN,,VERISIGN INC,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
75,144559,,ZBH,576,ZIMMER BIOMET HOLDINGS INC,,ZIMMER BIOMET HOLDINGS INC (Zimmer Holdings Inc prior to 06/2015),0,CAUCASIAN/WHITE,,,,,,,Bryan Hanson,Bryan Hanson,,,,,1,President/CEO,Executive Director,12/19/17,5/14/21,,,,,34134,1119554
76,6649,,LEG,,LEGGETT & PLATT INC,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
77,6649,,LEG,,LEGGETT & PLATT INC,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
78,24216,,AES,6,AES CORP (THE),,AES CORP,1,HISPANIC/LATIN AMERICAN,,,,,,,Doctor Andr__©s Gluski Weilert,Doctor Andr__©s Gluski Weilert,,,,,1,President/CEO,Executive Director,9/30/11,C,,,,,979,452889
79,29875,,AVB,45,AVALONBAY COMMUNITIES INC,,AVALONBAY COMMUNITIES INC,0,CAUCASIAN/WHITE,,,,,,,Tim Naughton,Tim Naughton,,,,,1,Chairman/President/CEO,Executive Director,5/22/13,2/1/21,,,,,3169,204883
80,61420,,POOL,489,POOL CORP,,POOL CORP (SCP Pool prior to 05/2006),0,CAUCASIAN/WHITE,,,,,,,Pete Arvan,Pete Arvan,,,,,1,President/CEO,Executive Director,7/31/19,C,,,,,27358,1351667
81,4029,,D,186,DOMINION ENERGY INC,,DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017),0,CAUCASIAN/WHITE,,,,,,,Tom Farrell II,Tom Farrell II,,,,,1,Chairman/President/CEO,Executive Director,4/27/07,10/1/20,,,,,9491,36934
82,186989,,MPC,645,MARATHON PETROLEUM CORP,,MADISON PACIFIC PROPERTIES INC,0,CAUCASIAN/WHITE,,,,,,,Marvin Haasen,Marvin Haasen,,,,,1,President/CEO,Executive Director,11/1/12,7/17/23,,,,,1604377,2121957
83,9777,,SJM,498,SMUCKER (JM) CO,,J. M. SMUCKER CO (THE),0,CAUCASIAN/WHITE,,,,,,,Richard Smucker,Richard Smucker,,,,,1,Chairman (Executive),Executive Director,5/1/16,8/17/22,,,,,28325,43611
83,9777,,SJM,499,SMUCKER (JM) CO,,J. M. SMUCKER CO (THE),0,CAUCASIAN/WHITE,,,,,,,Mark Smucker,Mark Smucker,,,,,1,President/CEO,Executive Director,5/1/16,8/17/22,,,,,28325,548682
