obs,1num,2num,tic,3num,3CompanyID,1conm_x,2Company,3CompanyName,gvkey,1ceo_minority,2ExecType,2director_name,2BE(Black?),*name,3ethnicity (from boardex),discrepancy_2.Bermiss_3.BoardEx,*ceo_race,*ceo_successor_race,2Female,2ceo_gender,*ceo_gender,*ceo_successor_gender,ceo_name_2020_changed,source_verifying discrepant ceo name,*ExecType,*BlackTMTnum,*BlackTMT?,2First,2Last,3RoleName,3DirectorName,3Seniority,3ceo?,3DateStartRole,3DateEndRole,*2020active,3DirectorID,2AnnDate,2permno,2Confounded,2Interim
403,306,61,BBY,77,4118,BEST BUY CO INC,Best Buy,BEST BUY CO INC,2184,0,CEO,Bradbury Anderson,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Bradbury,Anderson,CEO,Corie Barry,Executive Director,1,6/11/19,,Yes,1713009,2/25/02,85914,0,0
402,306,61,BBY,75,4118,BEST BUY CO INC,Best Buy,BEST BUY CO INC,2184,0,CEO,Bradbury Anderson,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,TMT,,,Bradbury,Anderson,Chairman (Executive),Hubert Joly,Executive Director,1,6/11/19,6/11/20,Yes,801207,2/25/02,85914,0,0
513,393,26,UAL,531,31575,UNITED AIRLINES HOLDINGS INC,United Airlines,UNITED AIRLINES HOLDINGS INC (United Continental Holdings Inc prior to 07/2019),10795,0,CEO,Brett Hart,1,Christopher Crane,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,CEO,,,Brett,Hart,CEO,Oscar Munoz,Executive Director,1,8/29/16,5/20/20,Yes,160071,10/19/15,91103,0,1
380,289,196,MRK,484,27219,MERCK & CO,Merck,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),7257,1,TMT,Bridgette Heller,1,Kenneth Frazier,BLACK/AFRICAN AMERICAN,No,Black,,1,Female,Male,,,https://www.annualreports.com/HostedData/AnnualReportArchive/m/NYSE_MRK_2020.pdf,TMT,,1,Bridgette,Heller,Chairman/President/CEO,Ken Frazier,Executive Director,1,12/1/11,4/1/21,Yes,31551,2/16/10,22752,1,
8,5,91,WMT,561,33046,WALMART INC,Wal-Mart Stores,WALMART INC (Wal-Mart Stores Inc prior to 02/2018),11259,0,CEO,C. Douglas McMillon,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,C. Douglas,McMillon,President/CEO,Doug McMillon,Executive Director,1,2/1/14,,Yes,32097,11/25/13,55976,0,0
448,337,226,ORCL,415,23295,ORACLE CORP,Oracle,ORACLE CORP,12142,0,TMT,Charles Phillips,1,Safra A. Catz,CAUCASIAN/WHITE,Yes,White,,0,Male,Female,,,,TMT,,0,Charles,Phillips,Vice Chairman (Executive),Jeff Henley,Executive Director,1,9/17/14,,Yes,33468,1/13/04,10104,1,
447,337,226,ORCL,413,23295,ORACLE CORP,Oracle,ORACLE CORP,12142,0,TMT,Charles Phillips,1,Safra A. Catz,CAUCASIAN/WHITE,Yes,White,,0,Male,Female,,,,TMT,,0,Charles,Phillips,Executive Chairman/Chief Technology Officer,Larry Ellison,Executive Director,1,9/17/14,,Yes,27485,1/13/04,10104,1,
449,337,226,ORCL,417,23295,ORACLE CORP,Oracle,ORACLE CORP,12142,0,TMT,Charles Phillips,1,Safra A. Catz,CAUCASIAN/WHITE,Yes,White,,0,Male,Female,,,,TMT,,0,Charles,Phillips,CEO,Safra Catz,Executive Director,1,10/18/19,,Yes,33503,1/13/04,10104,1,
84,60,257,SO,501,28665,SOUTHERN CO,Southern Company,SOUTHERN CO,9850,0,TMT,Christopher Womack,1,Thomas A. Fanning,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,https://www.southerncompany.com/about/leadership.html,TMT,,0,Christopher,Womack,Chairman/President/CEO,Tom Fanning,Executive Director,1,12/1/10,3/31/23,Yes,325858,12/22/08,18411,0,
83,60,124,SO,501,28665,SOUTHERN CO,Georgia Power,SOUTHERN CO,9850,0,CEO,Christopher Womack,1,Thomas A. Fanning,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,https://www.southerncompany.com/about/leadership.html,CEO,,,Christopher,Womack,Chairman/President/CEO,Tom Fanning,Executive Director,1,12/1/10,3/31/23,Yes,325858,5/26/21,18411,0,0
281,219,42,DRI,173,8697,DARDEN RESTAURANTS INC,Darden Restaurants,DARDEN RESTAURANTS INC,31846,0,CEO,Clarence Otis,1,Gene Lee,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,https://www.bloomberg.com/features/2016-how-did-i-get-here/gene-lee.html,CEO,,,Clarence,Otis,President/CEO,Gene Lee Jr,Executive Director,1,2/22/15,1/4/21,Yes,200799,8/12/04,81655,1,0
159,121,207,ZTS,,,ZOETIS INC,Zoetis,,13721,0,TMT,Clinton Lewis,1,Kristin Peck,CAUCASIAN/WHITE,Yes,White,,0,Male,Female,,,,TMT,,0,Clinton,Lewis,,,,,,,Yes,,5/7/15,13788,1,
538,416,96,GILD,259,13273,GILEAD SCIENCES INC,Gilead Sciences,GILEAD SCIENCES INC,24856,0,CEO,Daniel O'Day,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Daniel,O'Day,Chairman/CEO,Daniel O'Day,Executive Director,1,3/1/19,,Yes,1015485,12/9/18,77274,0,0
312,242,187,XRX,573,33850,XEROX HOLDINGS CORP,Xerox,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),11636,0,TMT,Darrell Ford,1,"	John Visentin",CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Darrell,Ford,Vice Chairman/CEO,John Visentin,Executive Director,1,5/14/18,6/28/22,Yes,1117881,11/2/15,27983,0,
15,9,155,OKE,411,23165,ONEOK INC,Oneok Inc,ONEOK INC (WAI Inc prior to 11/1997),8151,0,CEO,David Kyle,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,David,Kyle,President/CEO,Terry Spencer,Executive Director,1,1/31/14,6/28/21,Yes,620137,8/29/00,25232,0,0
621,469,145,MMC,357,19713,MARSH & MCLENNAN COS,Marsh & McLennan,MARSH & MCLENNAN COMPANIES INC,7065,0,CEO,Dean Klisura,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Dean,Klisura,President/CEO,Dan Glaser,Executive Director,1,1/1/13,12/31/22,Yes,592845,11/18/21,45751,0,0
438,330,197,DIS,,,DISNEY (WALT) CO,Walt Disney,,3980,0,TMT,Dennis Hightower,1,Robert A. Iger,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Dennis,Hightower,,,,,,,Yes,,9/24/90,26403,1,
324,250,229,LLY,339,18888,LILLY (ELI) & CO,Eli Lilly,ELI LILLY & CO,6730,0,TMT,Derica Rice,1,David A. Ricks,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Derica,Rice,Chair/President/CEO,Dave Ricks,Executive Director,1,6/1/17,,Yes,1068880,12/18/09,50876,0,
325,250,230,LLY,339,18888,LILLY (ELI) & CO,Eli Lilly,ELI LILLY & CO,6730,0,TMT,Derica Rice,1,David A. Ricks,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Derica,Rice,Chair/President/CEO,Dave Ricks,Executive Director,1,6/1/17,,Yes,1068880,2/23/06,50876,1,
323,250,48,LLY,339,18888,LILLY (ELI) & CO,Eli Lilly and Co.,ELI LILLY & CO,6730,0,CEO,Derica Rice,1,David A. Ricks,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,CEO,,,Derica,Rice,Chair/President/CEO,Dave Ricks,Executive Director,1,6/1/17,,Yes,1068880,5/6/13,50876,1,1
551,425,140,WU,621,840164,WESTERN UNION CO,Western Union,WESTERN UNION CO,175263,0,CEO,Devin McGranahan,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Devin,McGranahan,President/CEO,Hikmet Ersek,Executive Director,1,9/1/10,12/31/21,Yes,502258,11/15/21,91461,0,0
229,173,166,NI,394,22260,NISOURCE INC,NiSource,NISOURCE INC (NIPSCO Industries Inc prior to 04/1999),7974,0,TMT,Donald Brown,1,Joseph Hamrock,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Donald,Brown,President/CEO,Joe Hamrock,Executive Director,1,7/1/15,2/14/22,Yes,594908,3/24/15,38762,1,
273,211,76,SRE,,,SEMPRA ENERGY,Sempra Energy,,8272,0,CEO,Donald Felsinger,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Donald,Felsinger,,,,,,,Yes,,12/7/05,86136,0,0
507,389,51,MCD,365,19944,MCDONALD'S CORP,McDonald¡¯s,MCDONALD'S CORP,7154,0,CEO,Donald Thompson,1,Chris Kempczinski,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,CEO,,,Donald,Thompson,President/CEO,Chris Kempczinski,Executive Director,1,11/1/19,,Yes,1381393,1/11/10,43449,1,0
191,143,171,UNP,532,31786,UNION PACIFIC CORP,Union Paci_c,UNION PACIFIC CORP,10867,0,TMT,Eric Butler,1,Lance Fritz,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Eric,Butler,Chairman/President/CEO,Lance Fritz,Executive Director,1,10/1/15,8/14/23,Yes,603672,11/17/16,48725,1,
192,143,172,UNP,532,31786,UNION PACIFIC CORP,Union Paci_c,UNION PACIFIC CORP,10867,0,TMT,Eric Butler,1,Lance Fritz,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Eric,Butler,Chairman/President/CEO,Lance Fritz,Executive Director,1,10/1/15,8/14/23,Yes,603672,3/15/12,48725,1,
521,401,35,FFIV,231,11468,F5 INC,F5 Networks,F5 INC (F5 Networks Inc prior to 11/2021),121077,1,CEO,Francois Locoh-Donou,1,Francois Locoh-Donou,BLACK/AFRICAN AMERICAN,No,Black,,0,Male,Male,,,https://www.f5.com/company/leadership/francois-locoh-donou,CEO,,,Francois ,Locoh-Donou,President/CEO,Francois Locoh-Donou,Executive Director,1,4/3/17,,Yes,601275,1/31/17,86964,0,0
501,384,176,EXC,225,11376,EXELON CORP,Exelon,EXELON CORP,8539,0,TMT,Frank Clark,1,Christopher M. Crane,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Frank,Clark,President/CEO,Chris Crane,Executive Director,1,3/12/12,10/17/22,Yes,534954,10/2/01,21776,1,
629,477,208,PFE,,,PFIZER INC,P_zer,,8530,0,TMT,Freda Lewis-Hall,1,Albert Bourla,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Freda,Lewis-Hall,,,,,,,Yes,,5/4/09,21936,0,
232,176,67,FITB,1,324,FIFTH THIRD BANCORP,Fifth Third Bancorp,FIFTH THIRD BANCORP,4640,0,CEO,Greg Carmichael,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Greg,Carmichael,Chairman/President/CEO,Greg Carmichael,Executive Director,1,2/1/18,10/26/20,Yes,203638,7/8/15,34746,0,0
428,322,132,RTN,,,RAYTHEON CO,Raytheon,,8972,0,CEO,Hansel Tookes,1,Gregory J. Hayes,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,CEO,,,Hansel,Tookes,,,,,,,Yes,,9/8/99,24942,1,0
625,473,201,NLSN,659,1684303,NIELSEN HOLDINGS PLC,Nielsen Holdings plc,NIELSEN HOLDINGS PLC (Nielsen NV prior to 08/2015) (De-listed 10/2022),100873,0,TMT,Jamere Jackson,1,David Kenny,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Jamere,Jackson,CEO/Chief Diversity Officer,David Kenny,Executive Director,1,1/1/19,3/23/21,Yes,140602,2/24/14,12542,1,
496,379,161,BA,,,BOEING CO,Boeing,,2285,0,TMT,James Bell,1,David L. Calhoun,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,James,Bell,,,,,,,Yes,,1/6/04,19561,0,
495,379,4,BA,,,BOEING CO,Boeing Company,,2285,0,CEO,James Bell,1,David L. Calhoun,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,CEO,,,James,Bell,,,,,,,Yes,,3/7/05,19561,0,1
407,308,83,GIS,260,13273,GENERAL MILLS INC,General Mills,GILEAD SCIENCES INC,5071,0,CEO,Jeffrey Harmening,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Jeffrey,Harmening,Chairman/CEO,Daniel O'Day,Executive Director,1,3/1/19,,Yes,1015485,5/3/17,17144,0,0
406,308,83,GIS,257,13034,GENERAL MILLS INC,General Mills,GENERAL MILLS INC,5071,0,CEO,Jeffrey Harmening,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Jeffrey,Harmening,Chairman/CEO,Jeff Harmening,Executive Director,1,1/1/18,,Yes,988199,5/3/17,17144,0,0
371,284,248,KEY,323,17862,KEYCORP,KeyCorp,KEYCORP,9783,0,TMT,Jeffrey Weaver,1,Beth E. Mooney,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Jeffrey,Weaver,Chairman/President/CEO,Beth Mooney,Executive Director,1,5/1/11,5/1/20,Yes,50551,7/5/05,64995,0,
637,483,58,TPR,139,7173,TAPESTRY INC,Tapestry Inc,TAPESTRY INC (Coach Inc prior to 10/2017),140541,1,CEO,Jide Zeitlin,1,Jide Zeitlin,CAUCASIAN/WHITE,Yes,Black,White,0,Male,Male,Female,"Joanne Crevoiserat (Interim CEO, appointed in July 2020)",https://www.forbes.com/sites/elanagross/2020/07/21/tapestry-ceo-jide-zeitlin-resigns-after-misconduct-allegation/,CEO,,,Jide,Zeitlin,Chairman/CEO,Jide Zeitlin,Executive Director,1,9/4/19,7/20/20,Yes,271683,9/4/19,88661,1,0
14,9,81,OKE,411,23165,ONEOK INC,"ONEOK, Inc.",ONEOK INC (WAI Inc prior to 11/1997),8151,0,CEO,John Gibson,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,John,Gibson,President/CEO,Terry Spencer,Executive Director,1,1/31/14,6/28/21,Yes,620137,11/16/06,25232,1,0
54,39,134,NLOK,,,NORTONLIFELOCK INC,Symantec,,15855,0,CEO,John Thompson,1,Vincent Pilette ,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,Male,,https://www.nasdaq.com/press-release/nortonlifelock-announces-leadership-and-governance-appointments-2019-11-07,CEO,,,John,Thompson,,,,,,,Yes,,4/14/99,75607,0,0
18,12,204,HBI,624,882407,HANESBRANDS INC,Hanesbrands,HANESBRANDS INC,175319,0,TMT,Joia Johnson,1,Gerald Evans Jr,CAUCASIAN/WHITE,Yes,White,White,1,Female,Male,Male,"Stephen B. Bratspies (Aug 3, 2020)",https://www.businesswire.com/news/home/20200609005381/en/HanesBrands-Board-of-Directors-Appoints-Stephen-B.-Bratspies-as-Chief-Executive-Officer-Effective-Aug.-3-2020,TMT,,0,Joia,Johnson,CEO,Gerald Evans Jr,Executive Director,1,10/1/16,8/3/20,Yes,514830,1/11/07,91416,0,
297,230,255,WBA,560,33026,WALGREENS BOOTS ALLIANCE INC,Walgreens Boots Alliance,WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),11264,0,TMT,Kathleen Wilson-Thompson,1,Stefano Pessina,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,https://www.walgreensbootsalliance.com/news-media/press-releases/2023/walgreens-boots-alliance-appoints-rosalind-brewer-chief-executive,TMT,,0,Kathleen,Wilson-Thompson,Chairman (Executive),Jim Skinner,Executive Director,1,1/9/15,3/15/21,Yes,35981,11/23/09,19502,1,
296,230,255,WBA,559,33026,WALGREENS BOOTS ALLIANCE INC,Walgreens Boots Alliance,WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),11264,0,TMT,Kathleen Wilson-Thompson,1,Stefano Pessina,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,https://www.walgreensbootsalliance.com/news-media/press-releases/2022/walgreens-boots-alliance-appoints-rosalind-brewer-chief-executive,TMT,,0,Kathleen,Wilson-Thompson,Executive Vice Chairman/CEO,Stefano Pessina,Executive Director,1,7/9/15,3/15/21,Yes,3997,11/23/09,19502,1,
77,55,244,KO,140,7204,COCA-COLA CO,Coca-Cola,COCA-COLA CO,3144,0,TMT,Kathy Waller,1,James Quincey,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Kathy,Waller,Chairman/CEO,James Quincey,Executive Director,1,4/24/19,,Yes,877797,2/20/14,11308,1,
650,494,243,HII,663,1694757,HUNTINGTON INGALLS IND INC,Huntington Ingalls Industries,HUNTINGTON INGALLS INDUSTRIES INC,186310,0,TMT,Kellye Walker,1,Mike Petters,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Kellye,Walker,President/CEO,Mike Petters,Executive Director,1,3/31/11,3/1/22,Yes,487356,12/17/14,12623,1,
586,451,136,AXP,13,1355,AMERICAN EXPRESS CO,American Express,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),1447,0,CEO,Kenneth Chenault,1,Stephen J. Squeri,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,CEO,,,Kenneth,Chenault,CEO,Doctor Ludwig Hantson,Executive Director,1,3/27/17,7/21/21,Yes,1077323,4/27/99,59176,1,0
587,451,136,AXP,22,1815,AMERICAN EXPRESS CO,American Express,AMERICAN EXPRESS CO,1447,0,CEO,Kenneth Chenault,1,Stephen J. Squeri,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,CEO,,,Kenneth,Chenault,Chairman/CEO,Steve Squeri,Executive Director,1,2/1/18,,Yes,455385,4/27/99,59176,1,0
379,289,188,MRK,484,27219,MERCK & CO,Merck,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),7257,1,TMT,Kenneth Frazier,1,Kenneth Frazier,BLACK/AFRICAN AMERICAN,No,Black,,0,Male,Male,,,https://www.annualreports.com/HostedData/AnnualReportArchive/m/NYSE_MRK_2020.pdf,TMT,,1,Kenneth,Frazier,Chairman/President/CEO,Ken Frazier,Executive Director,1,12/1/11,4/1/21,Yes,31551,7/27/07,22752,1,
377,289,19,MRK,484,27219,MERCK & CO,Merck,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),7257,1,CEO,Kenneth Frazier,1,Kenneth Frazier,BLACK/AFRICAN AMERICAN,No,Black,,0,Male,Male,,,https://www.annualreports.com/HostedData/AnnualReportArchive/m/NYSE_MRK_2020.pdf,CEO,,,Kenneth,Frazier,Chairman/President/CEO,Ken Frazier,Executive Director,1,12/1/11,4/1/21,Yes,31551,11/30/10,22752,0,0
314,242,246,XRX,573,33850,XEROX HOLDINGS CORP,Xerox,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),11636,0,TMT,Kevin Warren,1,"	John Visentin",CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Kevin,Warren,Vice Chairman/CEO,John Visentin,Executive Director,1,5/14/18,6/28/22,Yes,1117881,12/7/16,27983,1,
588,451,190,AXP,13,1355,AMERICAN EXPRESS CO,American Express,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),1447,0,TMT,Kim Goodman,1,Stephen J. Squeri,CAUCASIAN/WHITE,Yes,White,,1,Female,Female,,,,TMT,,0,Kim,Goodman,CEO,Doctor Ludwig Hantson,Executive Director,1,3/27/17,7/21/21,Yes,1077323,7/12/07,59176,0,
590,451,190,AXP,22,1815,AMERICAN EXPRESS CO,American Express,AMERICAN EXPRESS CO,1447,0,TMT,Kim Goodman,1,Stephen J. Squeri,CAUCASIAN/WHITE,Yes,White,,1,Female,Female,,,,TMT,,0,Kim,Goodman,Chairman/CEO,Steve Squeri,Executive Director,1,2/1/18,,Yes,455385,7/12/07,59176,0,
564,438,193,CMCSA,143,7387,COMCAST CORP,Comcast,COMCAST CORP (AT&T Comcast Corp prior to 11/2002),3226,0,TMT,Kimberley Harris,1,Brian L. Roberts,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Kimberley,Harris,Chairman/President/CEO,Brian Roberts,Executive Director,1,5/25/04,10/11/22,Yes,35803,7/16/13,89565,1,
112,86,212,GLW,,,CORNING INC,Corning,,3532,0,TMT,Lawrence McRae,1,Wendell P. Weeks,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,https://www.corning.com/in/en/about-us/company-profile/our-leadership/wendell-p--weeks.html,TMT,,0,Lawrence,McRae,,,,,,,Yes,,10/7/10,22293,1,
412,309,245,TGT,511,29978,TARGET CORP,Target,TARGET CORP,3813,0,TMT,Laysha Ward,1,Brian C. Cornell,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Laysha,Ward,Chairman/CEO,Bill Andres,Executive Director,1,,,Yes,34696,12/17/14,49154,1,
413,309,245,TGT,513,29978,TARGET CORP,Target,TARGET CORP,3813,0,TMT,Laysha Ward,1,Brian C. Cornell,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Laysha,Ward,Chair/CEO,Brian Cornell,Executive Director,1,8/12/14,,Yes,310363,12/17/14,49154,1,
34,22,189,LMT,342,19048,LOCKHEED MARTIN CORP,Lockheed Martin,LOCKHEED MARTIN CORP,6774,0,TMT,Linda Gooden,1,Marillyn Hewson,CAUCASIAN/WHITE,Yes,White,White,1,Female,Female,Male,"James D. Taiclet (June 15, 2020)",https://www.wsj.com/articles/lockheed-martin-names-american-tower-chief-taiclet-president-ceo-11584361121,TMT,,0,Linda,Gooden,Chairman/President/CEO,Marillyn Hewson,Executive Director,1,1/1/14,6/15/20,Yes,202548,12/7/06,21178,1,
228,173,119,NI,394,22260,NISOURCE INC,NiSource,NISOURCE INC (NIPSCO Industries Inc prior to 04/1999),7974,0,CEO,Lloyd Yates,1,Joseph Hamrock,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,CEO,,,Lloyd,Yates,President/CEO,Joe Hamrock,Executive Director,1,7/1/15,2/14/22,Yes,594908,1/28/22,38762,1,0
410,308,162,GIS,260,13273,GENERAL MILLS INC,General Mills,GILEAD SCIENCES INC,5071,0,TMT,Marc Belton,1,Jeffrey L. Harmening,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Marc,Belton,Chairman/CEO,Daniel O'Day,Executive Director,1,3/1/19,,Yes,1015485,5/3/05,17144,1,
411,308,163,GIS,260,13273,GENERAL MILLS INC,General Mills,GILEAD SCIENCES INC,5071,0,TMT,Marc Belton,1,Jeffrey L. Harmening,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Marc,Belton,Chairman/CEO,Daniel O'Day,Executive Director,1,3/1/19,,Yes,1015485,5/4/06,17144,1,
408,308,162,GIS,257,13034,GENERAL MILLS INC,General Mills,GENERAL MILLS INC,5071,0,TMT,Marc Belton,1,Jeffrey L. Harmening,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Marc,Belton,Chairman/CEO,Jeff Harmening,Executive Director,1,1/1/18,,Yes,988199,5/3/05,17144,1,
