obs,1num,tic,1conm_x,gvkey,1ceo_minority,new_director_source,new_director_name,2director_race(black),2num,2Company,2AnnDate,2permno,TMT_verify_link(Manual Check),*TMT_Active_in_2020_afterMay26(Manual Check),CrossVerify_2role_type,2Confounded,2Interim,2gender(female?),blackTMT?,Num_Black_TMT,EverHad_Black_TMT,3num,3CompanyID,3DirectorID,3CompanyName,3RoleName,1ethnicity (from boardex),3DateStartRole,3DateEndRole,3Seniority,Director_EverBeen_CEO?,3Director_Active_in_2020_afterMay26
31,23,MAR,MARRIOTT INTL INC,28930,0,3BoardEx,Arne Sorenson,,,,,,,Yes,,,,,,0,0,355,19706,38571,MARRIOTT INTERNATIONAL INC,President/CEO,CAUCASIAN/WHITE,3/31/12,2/15/21,Executive Director,1,Yes
32,128,CCL,CARNIVAL CORPORATION & PLC,13498,1,2Bermiss,Arnold Donald,1,15,Carnival & plc,6/24/13,89728,,Yes,CEO,0,0,0,,1,1,105,5867,35264,CARNIVAL CORP,President/CEO,BLACK/AFRICAN AMERICAN,7/3/13,1/1/22,Executive Director,1,Yes
33,128,CCL,CARNIVAL CORPORATION & PLC,13498,1,2Bermiss,Arnold Donald,1,15,Carnival & plc,6/24/13,89728,,Yes,CEO,0,0,0,,1,1,104,5867,27496,CARNIVAL CORP,Chairman (Executive),BLACK/AFRICAN AMERICAN,7/3/13,,Executive Director,0,Yes
34,128,CCL,CARNIVAL CORPORATION & PLC,13498,1,3BoardEx,Arnold Donald,1,15,Carnival & plc,6/24/13,89728,,Yes,CEO,0,0,0,,1,1,105,5867,35264,CARNIVAL CORP,President/CEO,BLACK/AFRICAN AMERICAN,7/3/13,1/1/22,Executive Director,1,Yes
35,16,AFL,AFLAC INC,1449,0,2Bermiss,Audrey Boone Tillman,1,164,A_ac,5/5/14,57904,,,TMT,1,,1,1,2,1,,,,,,CAUCASIAN/WHITE,,,,0,No
36,427,ENPH,ENPHASE ENERGY INC,187450,1,3BoardEx,Badri Kothandaraman,,,,,,,Yes,,,,,,0,0,670,1810090,1197971,ENPHASE ENERGY INC,President/CEO,INDIAN/SOUTH ASIAN,9/3/17,,Executive Director,1,Yes
37,430,ROST,ROSS STORES INC,9248,0,3BoardEx,Barbara Rentler,,,,,,,Yes,,,,,,0,0,478,26560,487157,ROSS STORES INC,CEO,CAUCASIAN/WHITE,6/1/14,5/19/21,Executive Director,1,Yes
38,275,MTCH,MATCH GROUP INC,26061,1,3BoardEx,Barry Diller,,,,,,,Yes,,,,,,0,0,539,32019,33328,MATCH GROUP INC (IAC InterActiveCorp prior to 07/2020),Chairman (Executive),INDIAN/SOUTH ASIAN,12/1/10,6/30/20,Executive Director,0,Yes
39,400,EXPE,EXPEDIA GROUP INC,126296,0,3BoardEx,Barry Diller,,,,,,,Yes,,,,,,0,0,614,770141,33328,EXPEDIA GROUP INC (Expedia Inc prior to 03/2018),Chairman (Executive),CAUCASIAN/WHITE,8/9/05,,Executive Director,0,Yes
40,242,XRX,XEROX HOLDINGS CORP,11636,0,2Bermiss,Barry Rand,1,227,Xerox,2/4/92,27983,,,TMT,1,,0,1,5,1,573,33850,1117881,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),Vice Chairman/CEO,CAUCASIAN/WHITE,5/14/18,6/28/22,Executive Director,1,Yes
41,426,CLX,CLOROX CO/DE,3121,0,3BoardEx,Benno Dorer,,,,,,,Yes,,,,,,0,0,135,7089,750963,CLOROX COMPANY (THE),Chairman/CEO,CAUCASIAN/WHITE,8/15/16,9/14/20,Executive Director,1,Yes
42,358,HPQ,HP INC,5606,1,3BoardEx,Bernard Tourillon,,,,,,,Yes,,,,,,0,0,685,1985899,2390887,HPQ SILICON INC (HPQ Silicon Resources Inc prior to 07/2022),Chairman/President/CEO,HISPANIC/LATIN AMERICAN,1/1/18,,Executive Director,1,Yes
43,284,KEY,KEYCORP,9783,0,3BoardEx,Beth Mooney,1,247,KeyCorp,7/5/05,64995,,,TMT,0,,0,1,2,1,323,17862,50551,KEYCORP,Chairman/President/CEO,CAUCASIAN/WHITE,5/1/11,5/1/20,Executive Director,1,No
44,284,KEY,KEYCORP,9783,0,3BoardEx,Beth Mooney,1,193,KeyCorp,2/3/03,64995,,,TMT,1,,0,1,2,1,323,17862,50551,KEYCORP,Chairman/President/CEO,CAUCASIAN/WHITE,5/1/11,5/1/20,Executive Director,1,No
45,309,TGT,TARGET CORP,3813,0,3BoardEx,Bill Andres,1,244,Target,12/17/14,49154,,,TMT,1,,1,1,1,1,511,29978,34696,TARGET CORP,Chairman/CEO,CAUCASIAN/WHITE,,,Executive Director,1,No
46,96,LHX,L3HARRIS TECHNOLOGIES INC,5492,0,3BoardEx,Bill Brown,,,,,,,Yes,,,,,,0,0,268,14355,484620,L3HARRIS TECHNOLOGIES INC (Harris Corp prior to 07/2019),Chairman (Executive)/CEO,CAUCASIAN/WHITE,6/29/19,6/29/21,Executive Director,1,Yes
47,298,F,FORD MOTOR CO,4839,0,3BoardEx,Bill Ford Jr,,,,,,,Yes,,,,,,0,0,241,12262,23366,FORD MOTOR CO,Chairman (Executive),CAUCASIAN/WHITE,9/1/06,,Executive Director,0,Yes
48,429,PCG,PG&E CORP,8264,0,3BoardEx,Bill Johnson,,,,,,,Yes,,,,,,0,0,427,24303,47996,PG&E CORP,President/CEO,White,6/21/19,6/30/20,Executive Director,1,Yes
49,23,MAR,MARRIOTT INTL INC,28930,0,3BoardEx,Bill Marriott Jr,,,,,,,Yes,,,,,,0,0,353,19706,24849,MARRIOTT INTERNATIONAL INC,Chairman (Executive),CAUCASIAN/WHITE,3/31/12,5/6/22,Executive Director,0,Yes
50,366,NOW,SERVICENOW INC,171007,0,3BoardEx,Bill McDermott,,,,,,,Yes,,,,,,0,0,673,1830138,206474,SERVICENOW INC,President/CEO,CAUCASIAN/WHITE,11/18/19,10/25/22,Executive Director,1,Yes
51,435,IRM,IRON MOUNTAIN INC,62374,0,3BoardEx,Bill Meaney,,,,,,,Yes,,,,,,0,0,312,17012,1188382,IRON MOUNTAIN INC,President/CEO,CAUCASIAN/WHITE,1/7/13,,Executive Director,1,Yes
52,259,KMX,CARMAX INC,64410,0,3BoardEx,Bill Nash,,,,,,,Yes,,,,,,0,0,586,107377,1011736,CARMAX INC,President/CEO,CAUCASIAN/WHITE,9/1/16,,Executive Director,1,Yes
53,112,STZ,CONSTELLATION BRANDS,2710,0,3BoardEx,Bill Newlands Jr,,,,,,,Yes,,,,,,0,0,153,7753,1130665,CONSTELLATION BRANDS INC,President/CEO,CAUCASIAN/WHITE,3/1/19,,Executive Director,1,Yes
54,252,AZO,AUTOZONE INC,23809,0,3BoardEx,Bill Rhodes III,,,,,,,Yes,,,,,,0,0,44,3154,49966,AUTOZONE INC,Chairman/President/CEO,CAUCASIAN/WHITE,6/6/07,1/2/24,Executive Director,1,Yes
55,126,PPL,PPL CORP,8455,0,3BoardEx,Bill Spence,,,,,,,Yes,,,,,,0,0,441,24890,333782,PPL CORP,Chairman/CEO,CAUCASIAN/WHITE,7/1/19,5/31/20,Executive Director,1,Yes
56,336,DLR,DIGITAL REALTY TRUST INC,160991,0,3BoardEx,Bill Stein,,,,,,,Yes,,,,,,0,0,606,641924,374955,DIGITAL REALTY TRUST INC,CEO,CAUCASIAN/WHITE,5/1/15,12/13/22,Executive Director,1,Yes
57,45,TROW,PRICE (T. ROWE) GROUP,12138,0,3BoardEx,Bill Stromberg,0,107,T. Rowe Price Group,5/6/15,10138,,Yes,CEO,1,0,0,,0,0,443,25020,489855,T ROWE PRICE GROUP INC,Chairman/President/CEO,CAUCASIAN/WHITE,4/25/19,2/11/21,Executive Director,1,Yes
58,153,EOG,EOG RESOURCES INC,16478,0,3BoardEx,Bill Thomas,,,,,,,Yes,,,,,,0,0,210,10844,534761,EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999),Chairman/CEO,CAUCASIAN/WHITE,1/1/14,9/30/21,Executive Director,1,Yes
59,302,ROK,ROCKWELL AUTOMATION,9203,0,3BoardEx,Blake Moret,,,,,,,Yes,,,,,,0,0,473,26468,1108705,ROCKWELL AUTOMATION INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/18,,Executive Director,1,Yes
60,476,PARA,PARAMOUNT GLOBAL,13714,0,3BoardEx,Bob Bakish,0,156,Cbs,1/19/00,75104,,Yes,CEO,0,0,0,,0,0,110,6098,23537,PARAMOUNT GLOBAL (Viacomcbs Inc prior to 02/2022),President/CEO,CAUCASIAN/WHITE,12/4/19,,Executive Director,1,Yes
61,307,CHRW,C H ROBINSON WORLDWIDE INC,65609,0,3BoardEx,Bob Biesterfeld Jr,,,,,,,Yes,,,,,,0,0,121,6438,1656763,CH ROBINSON WORLDWIDE INC,President/CEO,CAUCASIAN/WHITE,5/9/19,12/31/22,Executive Director,1,Yes
62,198,AMGN,AMGEN INC,1602,0,3BoardEx,Bob Bradway,,,,,,,Yes,,,,,,0,0,27,2068,534543,AMGEN INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/13,,Executive Director,1,Yes
63,15,QRVO,QORVO INC,64853,0,3BoardEx,Bob Bruggeworth,,,,,,,Yes,,,,,,0,0,702,2204149,181113,QORVO INC,President/CEO,CAUCASIAN/WHITE,1/2/15,,Executive Director,1,Yes
64,320,PKI,PERKINELMER INC,4145,1,3BoardEx,Bob Espey,,,,,,,Yes,,,,,,0,0,664,1719568,1248755,PARKLAND CORP (Parkland Fuel Corp prior to 05/2020),President/CEO,INDIAN/SOUTH ASIAN,5/12/11,,Executive Director,1,Yes
65,318,KDP,KEURIG DR PEPPER INC,28877,0,3BoardEx,Bob Gamgort Jr,,,,,,,Yes,,,,,,0,0,635,1057037,989294,KEURIG DR PEPPER INC (Dr Pepper Snapple Group Inc prior to 07/2018),Chairman/President/CEO,CAUCASIAN/WHITE,1/13/19,7/29/22,Executive Director,1,Yes
66,157,LYB,LYONDELLBASELL INDUSTRIES NV,294524,1,3BoardEx,Bob Patel,,,,,,,Yes,,,,,,0,0,653,1667126,1092110,LYONDELLBASELL INDUSTRIES NV,CEO,INDIAN/SOUTH ASIAN,6/1/18,12/31/21,Executive Director,1,Yes
67,43,DLTR,DOLLAR TREE INC,31587,0,3BoardEx,Bob Sasser,,,,,,,Yes,,,,,,0,0,182,9474,106603,DOLLAR TREE INC,Chairman (Executive),CAUCASIAN/WHITE,9/18/17,3/16/22,Executive Director,0,Yes
68,265,CBRE,CBRE GROUP INC,260774,0,3BoardEx,Bob Sulentic,,,,,,,Yes,,,,,,0,0,109,6083,272769,CBRE GROUP INC (CB Richard Ellis Group Inc prior to 10/2011),President/CEO,CAUCASIAN/WHITE,12/1/12,11/17/23,Executive Director,1,Yes
69,359,INTC,INTEL CORP,6008,0,3BoardEx,Bob Swan,,,,,,,Yes,,,,,,0,0,302,16239,48076,INTEL CORP,CEO,CAUCASIAN/WHITE,1/30/19,2/15/21,Executive Director,1,Yes
70,328,ATVI,ACTIVISION BLIZZARD INC,180405,0,3BoardEx,Bobby Kotick,,,,,,,Yes,,,,,,0,0,3,725,69696,ACTIVISION BLIZZARD INC (De-listed 10/2023),CEO,CAUCASIAN/WHITE,6/26/17,10/13/23,Executive Director,1,Yes
71,360,INTU,INTUIT INC,27928,1,3BoardEx,Brad Smith,,,,,,,Yes,,,,,,0,0,308,16626,444827,INTUIT INC,Chairman (Executive),MIDDLE-EASTERN/NORTH AFRICAN,1/1/19,1/1/22,Executive Director,0,Yes
72,396,ALK,ALASKA AIR GROUP INC,1230,0,3BoardEx,Brad Tilden,,,,,,,Yes,,,,,,0,0,10,1273,220505,ALASKA AIR GROUP INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/14,3/31/21,Executive Director,1,Yes
73,306,BBY,BEST BUY CO INC,2184,0,2Bermiss,Bradbury Anderson,0,60,Best Buy,2/25/02,85914,,Yes,CEO,0,0,0,,0,0,77,4118,1713009,BEST BUY CO INC,CEO,CAUCASIAN/WHITE,6/11/19,,Executive Director,1,Yes
74,306,BBY,BEST BUY CO INC,2184,0,2Bermiss,Bradbury Anderson,0,60,Best Buy,2/25/02,85914,,Yes,CEO,0,0,0,,0,0,75,4118,801207,BEST BUY CO INC,Chairman (Executive),CAUCASIAN/WHITE,6/11/19,6/11/20,Executive Director,0,Yes
75,393,UAL,UNITED AIRLINES HOLDINGS INC,10795,0,2Bermiss,Brett Hart,1,26,United Airlines,10/19/15,91103,,No,CEO,0,1,0,,1,1,531,31575,160071,UNITED AIRLINES HOLDINGS INC (United Continental Holdings Inc prior to 07/2019),CEO,CAUCASIAN/WHITE,8/29/16,5/20/20,Executive Director,1,No
76,309,TGT,TARGET CORP,3813,0,3BoardEx,Brian Cornell,1,244,Target,12/17/14,49154,,,TMT,1,,1,1,1,1,513,29978,310363,TARGET CORP,Chair/CEO,CAUCASIAN/WHITE,8/12/14,,Executive Director,1,Yes
77,215,HAS,HASBRO INC,5518,0,3BoardEx,Brian Goldner,,,,,,,Yes,,,,,,0,0,270,14399,205487,HASBRO INC,Chairman/CEO,CAUCASIAN/WHITE,2/6/17,10/12/21,Executive Director,1,Yes
78,183,CTSH,COGNIZANT TECH SOLUTIONS,111864,0,3BoardEx,Brian Humphries,,,,,,,Yes,,,,,,0,0,141,7256,515842,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CEO,CAUCASIAN/WHITE,4/1/19,1/12/23,Executive Director,1,Yes
79,28,BAC,BANK OF AMERICA CORP,7647,0,3BoardEx,Brian Moynihan,,,,,,,Yes,,,,,,0,0,81,4504,35043,BANK OF AMERICA CORP,Chair/President/CEO,CAUCASIAN/WHITE,10/1/14,,Executive Director,1,Yes
80,438,CMCSA,COMCAST CORP,3226,0,3BoardEx,Brian Roberts,1,192,Comcast,7/16/13,89565,,,TMT,1,,1,1,1,1,143,7387,35803,COMCAST CORP (AT&T Comcast Corp prior to 11/2002),Chairman/President/CEO,CAUCASIAN/WHITE,5/25/04,10/11/22,Executive Director,1,Yes
81,289,MRK,MERCK & CO,7257,1,2Bermiss,Bridgette Heller,1,195,Merck,2/16/10,22752,,,TMT,1,,1,1,4,1,484,27219,31551,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),Chairman/President/CEO,BLACK/AFRICAN AMERICAN,12/1/11,4/1/21,Executive Director,1,Yes
82,196,HUM,HUMANA INC,27914,0,3BoardEx,Bruce Broussard,,,,,,,Yes,,,,,,0,0,289,15207,272234,HUMANA INC,President/CEO,CAUCASIAN/WHITE,1/1/13,1/8/24,Executive Director,1,Yes
83,213,CFG,CITIZENS FINANCIAL GROUP INC,21825,0,3BoardEx,Bruce van Saun,,,,,,,Yes,,,,,,0,0,700,2150201,35815,CITIZENS FINANCIAL GROUP INC,Chairman/CEO,CAUCASIAN/WHITE,9/24/14,,Executive Director,1,Yes
84,448,WFC,WELLS FARGO & CO,8007,0,3BoardEx,Bruno Wall,1,205,Wells Fargo,10/16/14,38703,,,TMT,1,,1,1,2,1,617,817190,1046778,WALL FINANCIAL CORP,President/CEO/CFO/Treasurer,CAUCASIAN/WHITE,7/6/94,,Executive Director,1,Yes
85,448,WFC,WELLS FARGO & CO,8007,0,3BoardEx,Bruno Wall,1,197,Wells Fargo,5/14/12,38703,,,TMT,0,,1,1,2,1,617,817190,1046778,WALL FINANCIAL CORP,President/CEO/CFO/Treasurer,CAUCASIAN/WHITE,7/6/94,,Executive Director,1,Yes
86,75,ZBH,ZIMMER BIOMET HOLDINGS INC,144559,0,3BoardEx,Bryan Hanson,,,,,,,Yes,,,,,,0,0,576,34134,1119554,ZIMMER BIOMET HOLDINGS INC (Zimmer Holdings Inc prior to 06/2015),President/CEO,CAUCASIAN/WHITE,12/19/17,5/14/21,Executive Director,1,Yes
87,5,WMT,WALMART INC,11259,0,2Bermiss,C. Douglas McMillon,0,90,Wal-Mart Stores,11/25/13,55976,,Yes,CEO,0,0,0,,0,0,561,33046,32097,WALMART INC (Wal-Mart Stores Inc prior to 02/2018),President/CEO,CAUCASIAN/WHITE,2/1/14,,Executive Director,1,Yes
88,409,ADP,AUTOMATIC DATA PROCESSING,1891,1,3BoardEx,Carlos Rodriguez,,,,,,,Yes,,,,,,0,0,41,3101,745222,AUTOMATIC DATA PROCESSING INC (ADP),President/CEO,HISPANIC/LATIN AMERICAN,11/8/11,1/1/22,Executive Director,1,Yes
89,325,TJX,TJX COS INC (THE),11672,0,3BoardEx,Carol Meyrowitz,,,,,,,Yes,,,,,,0,0,523,30801,38966,TJX COS INC,Chairman (Executive),CAUCASIAN/WHITE,1/31/16,,Executive Director,0,Yes
90,25,PAYC,PAYCOM SOFTWARE INC,20116,0,3BoardEx,Chad Richison,,,,,,,Yes,,,,,,0,0,695,2061294,1388163,PAYCOM SOFTWARE INC,Chairman/President/CEO,CAUCASIAN/WHITE,8/1/16,2/7/24,Executive Director,1,Yes
91,456,CL,COLGATE-PALMOLIVE CO,3170,0,3BoardEx,Charles Bachtell,,,,,,,Yes,,,,,,0,0,718,2957858,1374341,CRESCO LABS INC,CEO,CAUCASIAN/WHITE,12/3/18,,Executive Director,1,Yes
92,414,EQIX,EQUINIX INC,138743,0,3BoardEx,Charles Meyers,,,,,,,Yes,,,,,,0,0,213,10899,1089745,EQUINIX INC,President/CEO,CAUCASIAN/WHITE,9/12/18,,Executive Director,1,Yes
93,337,ORCL,ORACLE CORP,12142,0,2Bermiss,Charles Phillips,1,225,Oracle,1/13/04,10104,,,TMT,1,,0,1,1,1,415,23295,33468,ORACLE CORP,Vice Chairman (Executive),CAUCASIAN/WHITE,9/17/14,,Executive Director,0,Yes
94,337,ORCL,ORACLE CORP,12142,0,2Bermiss,Charles Phillips,1,225,Oracle,1/13/04,10104,,,TMT,1,,0,1,1,1,413,23295,27485,ORACLE CORP,Executive Chairman/Chief Technology Officer,CAUCASIAN/WHITE,9/17/14,,Executive Director,0,Yes
95,337,ORCL,ORACLE CORP,12142,0,2Bermiss,Charles Phillips,1,225,Oracle,1/13/04,10104,,,TMT,1,,0,1,1,1,417,23295,33503,ORACLE CORP,CEO,CAUCASIAN/WHITE,10/18/19,,Executive Director,1,Yes
96,217,DISH,DISH NETWORK CORP,60900,0,3BoardEx,Charlie Ergen,,,,,,,Yes,,,,,,0,0,197,10024,43416,DISH NETWORK CORP (Echostar Communications Corp prior to 01/2008) (De-listed 12/2023),Chairman (Executive),CAUCASIAN/WHITE,12/5/17,12/29/23,Executive Director,0,Yes
97,411,PRU,PRUDENTIAL FINANCIAL INC,143356,0,3BoardEx,Charlie Lowrey Jr,,,,,,,Yes,,,,,,0,0,450,25332,885991,PRUDENTIAL FINANCIAL INC,Chairman/President/CEO,CAUCASIAN/WHITE,4/5/19,,Executive Director,1,Yes
