"1coid","tic.x","1conm_x","2Company","3CompanyName","gvkey","1ceo_minority","1ethnicity (from boardex)","ceo_name","2DirectorName","2First","2Last","3FirstName","3LastName","1ceo_race(black)","2BE","3RoleType","3RoleName","3Seniority","2020_Active","2020_Active_May26_Dec31","2020_CEO_Change","2020_2CEOs","2Female","2Gender","2AnnDate","2EndDate","3DateStartRole","3DateEndRole","X3num","X3CompanyID","X3DirectorID","2num","2permno","2Confounded","2Interim","obs","tic.y","conm_x","CrossVerified_ExecType","DirectorName","Ethnicity","Race(black)","BE_fromBermissData","Actual_Bermiss_discrepancy","Minority","Gender","Female","Num_Black_TMT","Active2020","CEO_Appointment_date_within_2020","DirectorName_source"
415,"GILD","GILEAD SCIENCES INC","Gilead Sciences","GILEAD SCIENCES INC","24856",0,"CAUCASIAN/WHITE","Daniel O'Day",NA,NA,NA,"Daniel","O'Day",NA,0,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,0,"M","12/9/18",NA,"3/1/19",NA,198,13273,1015485,118,77274,0,0,193,"GILD","GILEAD SCIENCES INC","CEO","Daniel O'Day","Caucasian/White",0,0,0,0,"M",0,1,"Yes",NA,"Bermiss"
424,"WU","WESTERN UNION CO","Western Union","WESTERN UNION CO","175263",0,"CAUCASIAN/WHITE","Hikmet Ersek","Devin McGranahan","Devin","McGranahan","Hikmet","Ersek",NA,0,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","11/15/21",NA,"9/1/10","12/31/21",509,840164,502258,182,91461,0,0,459,"WU","WESTERN UNION CO","CEO","Hikmet Ersek","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"BoardEx"
424,"WU","WESTERN UNION CO","Western Union","WESTERN UNION CO","175263",0,"CAUCASIAN/WHITE","Hikmet Ersek","Devin McGranahan","Devin","McGranahan","Hikmet","Ersek",NA,0,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","11/15/21",NA,"9/1/10","12/31/21",509,840164,502258,182,91461,0,0,461,"WU","WEYERHAEUSER CO","CEO","Devin McGranahan","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"Bermiss"
468,"MMC","MARSH & MCLENNAN COS","Marsh & McLennan","MARSH & MCLENNAN COMPANIES INC","7065",0,"CAUCASIAN/WHITE","Dan Glaser","Dean Klisura","Dean","Klisura","Dan","Glaser",NA,0,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","11/18/21",NA,"1/1/13","12/31/22",314,19713,592845,73,45751,0,0,279,"MMC","MARSH & MCLENNAN COS","CEO","Dan Glaser","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"BoardEx"
468,"MMC","MARSH & MCLENNAN COS","Marsh & McLennan","MARSH & MCLENNAN COMPANIES INC","7065",0,"CAUCASIAN/WHITE","Dan Glaser","Dean Klisura","Dean","Klisura","Dan","Glaser",NA,0,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","11/18/21",NA,"1/1/13","12/31/22",314,19713,592845,73,45751,0,0,280,"MMC","MARSH & MCLENNAN COS","CEO","Dean Klisura","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"Bermiss"
475,"PARA","PARAMOUNT GLOBAL","Cbs","PARAMOUNT GLOBAL (Viacomcbs Inc prior to 02/2022)","13714",0,"CAUCASIAN/WHITE","Bob Bakish","Roger King","Roger","King","Bob","Bakish",NA,0,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","1/19/00",NA,"12/4/19",NA,368,6098,23537,105,75104,0,0,81,"PARA","CBS Television Distribution","CEO","Roger King","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"Bermiss"
475,"PARA","PARAMOUNT GLOBAL","Cbs","PARAMOUNT GLOBAL (Viacomcbs Inc prior to 02/2022)","13714",0,"CAUCASIAN/WHITE","Bob Bakish","Roger King","Roger","King","Bob","Bakish",NA,0,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","1/19/00",NA,"12/4/19",NA,368,6098,23537,105,75104,0,0,335,"PARA","PARAMOUNT GLOBAL","CEO","Bob Bakish","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"BoardEx"
483,"TRV","TRAVELERS COS INC","The Travelers Companies","THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007)","62689",0,"CAUCASIAN/WHITE","Alan Schnitzer",NA,NA,NA,"Alan","Schnitzer",NA,0,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,0,"M","8/4/15",NA,"8/1/17",NA,463,469152,533891,141,59459,0,0,421,"TRV","TRAVELERS COS INC","CEO","Alan Schnitzer","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"Bermiss"
3,"LOW","LOWE'S COS INC","Lowe's Companies","LOWE'S COS INC","6829",1,"BLACK/AFRICAN AMERICAN","Marvin Ellison",NA,NA,NA,"Marvin","Ellison",NA,1,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","5/22/18",NA,"7/2/18","6/1/21",285,19193,489833,72,61399,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"NLOK","NORTONLIFELOCK INC","Symantec",NA,"15855",0,"CAUCASIAN/WHITE","John Thompson",NA,NA,NA,"John","Thompson",NA,1,"CEO",NA,NA,NA,NA,NA,NA,0,"M","4/14/99",NA,NA,NA,NA,NA,NA,112,75607,0,0,321,"NLOK","NORTONLIFELOCK INC","CEO","John Thompson","African American/Black",1,1,0,1,"M",0,1,"Yes",NA,"Bermiss"
60,"SO","SOUTHERN CO","Georgia Power","SOUTHERN CO","9850",0,"CAUCASIAN/WHITE","Tom Fanning","Christopher Womack","Christopher","Womack","Tom","Fanning",NA,1,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,0,"M","5/26/21",NA,"12/1/10","3/31/23",440,28665,325858,90,18411,0,0,192,"GPJA","GEORGIA POWER CO","CEO","Christopher Womack","African American/Black",1,1,0,1,"M",0,1,"Yes",NA,"Bermiss"
127,"CCL","CARNIVAL CORPORATION & PLC","Carnival & plc","CARNIVAL CORP","13498",1,"BLACK/AFRICAN AMERICAN","Arnold Donald",NA,NA,NA,"Arnold","Donald",NA,1,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","6/24/13",NA,"7/3/13","1/1/22",72,5867,35264,104,89728,0,0,76,"CCL","CARNIVAL CORPORATION & PLC","CEO","Arnold Donald","African American/Black",1,1,0,1,"M",0,1,"Yes",NA,"Bermiss"
167,"MTB","M & T BANK CORP","M&T Bank","M&T BANK CORP","4699",0,"CAUCASIAN/WHITE","Rene Jones",NA,NA,NA,"Rene","Jones",NA,1,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,0,"M","12/20/17",NA,"12/20/17",NA,328,19327,484476,64,35554,1,0,274,"MTB","M & T BANK CORP","CEO","Rene Jones","African American/Black",1,1,0,1,"M",0,1,"Yes",NA,"BoardEx"
172,"NI","NISOURCE INC","NiSource","NISOURCE INC (NIPSCO Industries Inc prior to 04/1999)","7974",0,"CAUCASIAN/WHITE","Joe Hamrock","Lloyd Yates","Lloyd","Yates","Joe","Hamrock",NA,1,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","1/28/22",NA,"7/1/15","2/14/22",339,22260,594908,81,38762,1,0,317,"NI","NISOURCE INC","CEO","Joe Hamrock","Caucasian/White",0,1,1,0,"M",0,2,"Yes",NA,"BoardEx"
218,"DRI","DARDEN RESTAURANTS INC","Darden Restaurants","DARDEN RESTAURANTS INC","31846",0,"CAUCASIAN/WHITE","Gene Lee Jr","Clarence Otis","Clarence","Otis","Gene","Lee Jr",NA,1,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","8/12/04",NA,"2/22/15","1/4/21",135,8697,200799,135,81655,1,0,120,"DRI","DARDEN RESTAURANTS INC","CEO","Gene Lee Jr","Caucasian/White",0,1,1,0,"M",0,1,"Yes",NA,"BoardEx"
229,"WBA","WALGREENS BOOTS ALLIANCE INC","Walgreens","WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014)","11264",0,"CAUCASIAN/WHITE","Stefano Pessina","Rosalind Brewer","Rosalind","Brewer","Stefano","Pessina",NA,1,"CEO","Executive Vice Chairman/CEO","Executive Director",NA,1,NA,NA,1,"F","1/26/21",NA,"7/9/15","3/15/21",498,33026,3997,94,19502,0,0,449,"WBA","WALGREENS BOOTS ALLIANCE INC","CEO","Stefano Pessina","Caucasian/White",0,1,1,0,"M",0,1,"Yes",NA,"BoardEx"
241,"XRX","XEROX HOLDINGS CORP","Xerox","XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019)","11636",0,"CAUCASIAN/WHITE","John Visentin","Ursula Burns","Ursula","Burns","John","Visentin",NA,1,"CEO","Vice Chairman/CEO","Executive Director",NA,1,NA,NA,1,"F","5/21/09",NA,"5/14/18","6/28/22",516,33850,1117881,97,27983,1,0,466,"XRX","XEROX HOLDINGS CORP","CEO","John Visentin","Caucasian/White",0,1,1,0,"M",0,3,"Yes",NA,"BoardEx"
249,"LLY","LILLY (ELI) & CO","Eli Lilly and Co.","ELI LILLY & CO","6730",0,"CAUCASIAN/WHITE","Dave Ricks","Derica Rice","Derica","Rice","Dave","Ricks",NA,1,"CEO","Chair/President/CEO","Executive Director",NA,1,NA,NA,0,"M","5/6/13",NA,"6/1/17",NA,280,18888,1068880,71,50876,1,1,265,"LLY","LILLY (ELI) & CO","CEO","Dave Ricks","Caucasian/White",0,1,1,0,"M",0,3,"Yes",NA,"BoardEx"
249,"LLY","LILLY (ELI) & CO","Eli Lilly and Co.","ELI LILLY & CO","6730",0,"CAUCASIAN/WHITE","Dave Ricks","Derica Rice","Derica","Rice","Dave","Ricks",NA,1,"CEO","Chair/President/CEO","Executive Director",NA,1,NA,NA,0,"M","5/6/13",NA,"6/1/17",NA,280,18888,1068880,71,50876,1,1,266,"LLY","LILLY (ELI) & CO","CEO","Derica Rice","African American/Black",1,1,0,1,"M",0,1,"Yes",NA,"Bermiss"
288,"MRK","MERCK & CO","Merck","MERCK & CO INC (Schering-Plough Corp prior to 11/2009)","7257",1,"BLACK/AFRICAN AMERICAN","Kenneth Frazier",NA,NA,NA,"Ken","Frazier",NA,1,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,0,"M","11/30/10",NA,"12/1/11","4/1/21",319,27219,31551,77,22752,0,0,289,"MRK","MERCK & CO","CEO","Ken Frazier","African American/Black",1,1,0,1,"F",1,3,"Yes",NA,"BoardEx"
321,"RTN","RAYTHEON CO","Raytheon",NA,"8972",0,"CAUCASIAN/WHITE","Hansel Tookes",NA,NA,NA,"Hansel","Tookes",NA,1,"CEO",NA,NA,NA,NA,NA,NA,0,"M","9/8/99",NA,NA,NA,NA,NA,NA,87,24942,1,0,372,"RTN","RAYTHEON CO","CEO","Hansel Tookes","African American/Black",1,1,0,1,"M",0,1,"No",NA,"Bermiss"
378,"BA","BOEING CO","Boeing Company",NA,"2285",0,"CAUCASIAN/WHITE","James Bell",NA,NA,NA,"James","Bell",NA,1,"CEO",NA,NA,NA,NA,NA,NA,0,"M","3/7/05",NA,NA,NA,NA,NA,NA,50,19561,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,"MCD","MCDONALD'S CORP","McDonald's","MCDONALD'S CORP","7154",0,"CAUCASIAN/WHITE","Chris Kempczinski","Donald Thompson","Donald","Thompson","Chris","Kempczinski",NA,1,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","1/11/10",NA,"11/1/19",NA,299,19944,1381393,76,43449,1,0,286,"MCD","MCDONALD'S CORP","CEO","Chris Kempczinski","Caucasian/White",0,1,1,0,"M",0,2,"Yes",NA,"BoardEx"
388,"MCD","MCDONALD'S CORP","McDonald's","MCDONALD'S CORP","7154",0,"CAUCASIAN/WHITE","Chris Kempczinski","Donald Thompson","Donald","Thompson","Chris","Kempczinski",NA,1,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","1/11/10",NA,"11/1/19",NA,299,19944,1381393,76,43449,1,0,287,"MCD","MCDONALD'S CORP","CEO","Donald Thompson","African American/Black",1,1,0,1,"M",0,2,"Yes",NA,"Bermiss"
392,"UAL","UNITED AIRLINES HOLDINGS INC","United Airlines","UNITED AIRLINES HOLDINGS INC (United Continental Holdings Inc prior to 07/2019)","10795",0,"CAUCASIAN/WHITE","Oscar Munoz","Brett Hart","Brett","Hart","Oscar","Munoz",NA,1,"CEO","CEO","Executive Director",1,0,NA,NA,0,"M","10/19/15",NA,"8/29/16","5/20/20",472,31575,160071,91,91103,0,1,429,"UAL","UNITED AIRLINES HOLDINGS INC","CEO","Brett Hart","African American/Black",1,1,0,1,"M",0,1,"Yes","Started in 5/1/2020","Bermiss"
392,"UAL","UNITED AIRLINES HOLDINGS INC","United Airlines","UNITED AIRLINES HOLDINGS INC (United Continental Holdings Inc prior to 07/2019)","10795",0,"CAUCASIAN/WHITE","Oscar Munoz","Brett Hart","Brett","Hart","Oscar","Munoz",NA,1,"CEO","CEO","Executive Director",1,0,NA,NA,0,"M","10/19/15",NA,"8/29/16","5/20/20",472,31575,160071,91,91103,0,1,430,"UAL","UNITED AIRLINES HOLDINGS INC","CEO","Oscar Munoz","Hispanic/Latino",0,1,1,1,"M",0,1,"Yes","Retired in 5/1/2020","BoardEx"
400,"FFIV","F5 INC","F5 Networks",NA,"121077",1,"BLACK/AFRICAN AMERICAN","Fran_ois Locoh-Donou",NA,NA,NA,"Fran_ois","Locoh-Donou",NA,1,"CEO",NA,NA,NA,NA,NA,NA,0,"M","1/31/17",NA,NA,NA,NA,NA,NA,157,86964,0,0,168,"FFIV","F5 INC","CEO","Francois Locoh-Donou","African American/Black",1,1,0,1,"M",0,1,"Yes",NA,"BoardEx"
450,"AXP","AMERICAN EXPRESS CO","American Express","AMERICAN EXPRESS CO","1447",0,"CAUCASIAN/WHITE","Steve Squeri","Kenneth Chenault","Kenneth","Chenault","Steve","Squeri",NA,1,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,0,"M","4/27/99",NA,"2/1/18",NA,42,1815,455385,46,59176,1,0,24,"AXP","AMERICAN EXPRESS CO","CEO","Steve Squeri","Caucasian/White",0,1,1,0,"M",0,2,"Yes",NA,"BoardEx"
482,"TPR","TAPESTRY INC","Tapestry Inc","TAPESTRY INC (Coach Inc prior to 10/2017)","140541",0,"CAUCASIAN/WHITE","Jide Zeitlin",NA,NA,NA,"Jide","Zeitlin",NA,1,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,0,"M","9/4/19",NA,"9/4/19","7/20/20",461,7173,271683,164,88661,1,0,411,"TPR","TAPESTRY INC","CEO","Jide Zeitlin","African American/Black",1,1,0,1,"M",0,1,"Yes",NA,"Bermiss"
1,"MHK","MOHAWK INDUSTRIES INC",NA,"MOHAWK INDUSTRIES INC","25119",0,"CAUCASIAN/WHITE","Jeff Lorberbaum",NA,NA,NA,"Jeff","Lorberbaum",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"11/4/09",NA,309,20964,64542,NA,NA,NA,NA,300,"MHK","MOHAWK INDUSTRIES INC","CEO","Jeff Lorberbaum","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
2,"ODFL","OLD DOMINION FREIGHT",NA,"OLD DOMINION FREIGHT LINE INC","24617",0,"CAUCASIAN/WHITE","Greg Gantt",NA,NA,NA,"Greg","Gantt",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"5/16/18","6/30/23",359,23040,896206,NA,NA,NA,NA,327,"ODFL","OLD DOMINION FREIGHT","CEO","Greg Gantt","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
4,"JBHT","HUNT (JB) TRANSPRT SVCS INC",NA,"HUNT(J.B.)TRANSPORT SERVICES INC","5783",0,"CAUCASIAN/WHITE","John Roberts III",NA,NA,NA,"John","Roberts III",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/1/11","8/1/22",254,15223,497950,NA,NA,NA,NA,218,"JBHT","HUNT (JB) TRANSPRT SVCS INC","CEO","John Roberts III","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
6,"LH","LABORATORY CP OF AMER HLDGS",NA,"LABORATORY CORP OF AMERICA HLDGS (LABCORP)","14960",0,"CAUCASIAN/WHITE","Adam Schechter",NA,NA,NA,"Adam","Schechter",NA,NA,"CEO","President/CEO","Executive Director",1,0,NA,NA,NA,NA,NA,NA,"11/1/19","5/13/20",277,18319,495421,NA,NA,NA,NA,258,"LH","LABORATORY CP OF AMER HLDGS","CEO","Adam Schechter","Caucasian/White",0,NA,0,0,"M",0,0,"No",NA,"BoardEx"
7,"TSN","TYSON FOODS INC -CL A",NA,"TYSON FOODS INC","10793",0,"CAUCASIAN/WHITE","Noel White",NA,NA,NA,"Noel","White",NA,NA,"CEO","CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"12/20/19","10/3/20",465,31563,453851,NA,NA,NA,NA,425,"TSN","TYSON FOODS INC -CL A","CEO","Noel White","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
8,"MKC","MCCORMICK & CO INC",NA,"MCCORMICK & CO INC","7146",0,"CAUCASIAN/WHITE","Lawrence Kurzius",NA,NA,NA,"Lawrence","Kurzius",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/31/17","6/1/22",311,19939,481697,NA,NA,NA,NA,285,"MKC","MCCORMICK & CO INC","CEO","Lawrence Kurzius","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
9,"OKE","ONEOK INC","ONEOK, Inc.","ONEOK INC (WAI Inc prior to 11/1997)","8151",0,"CAUCASIAN/WHITE","Terry Spencer",NA,NA,NA,"Pierce","Norton II",NA,NA,"CEO","President/CEO","Executive Director",NA,1,1,1,NA,NA,"9/28/20",NA,"1/31/14","6/28/21",361,23165,620137,82,NA,NA,NA,330,"OKE","ONEOK INC","CEO","Terry Spencer","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"BoardEx"
9,"OKE","ONEOK INC","ONEOK, Inc.","ONEOK INC (WAI Inc prior to 11/1997)","8151",0,"CAUCASIAN/WHITE","Terry Spencer",NA,NA,NA,"Terry","Spencer",NA,NA,"CEO","President/CEO","Executive Director",NA,1,1,1,NA,NA,"1/31/14","9/28/20","1/31/14","6/28/21",361,23165,620137,83,NA,NA,NA,330,"OKE","ONEOK INC","CEO","Terry Spencer","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"BoardEx"
10,"TWX","WarnerMedia",NA,NA,"164296",0,"CAUCASIAN/WHITE",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"WMB","WILLIAMS COS INC",NA,"WILLIAMS COMPANIES INC","11506",0,"CAUCASIAN/WHITE","Alan Armstrong",NA,NA,NA,"Alan","Armstrong",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/3/11",NA,505,33512,443291,NA,NA,NA,NA,464,"WMB","WILLIAMS COS INC","CEO","Alan Armstrong","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
12,"HBI","HANESBRANDS INC",NA,"HANESBRANDS INC","175319",0,"CAUCASIAN/WHITE","Gerald Evans Jr",NA,NA,NA,"Gerald","Evans Jr",NA,NA,"CEO","CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"10/1/16","8/3/20",212,882407,514830,NA,NA,NA,NA,200,"HBI","HANESBRANDS INC","CEO","Gerald Evans Jr","African American/Black",1,1,0,1,"M",0,2,"Yes",NA,"BoardEx"
13,"GPC","GENUINE PARTS CO",NA,"GENUINE PARTS CO","5125",0,"CAUCASIAN/WHITE","Paul Donahue",NA,NA,NA,"Paul","Donahue",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"4/22/19",NA,205,13110,547628,NA,NA,NA,NA,191,"GPC","GENUINE PARTS CO","CEO","Paul Donahue","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
14,"HD","HOME DEPOT INC",NA,"HOME DEPOT INC","5680",0,"CAUCASIAN/WHITE","Craig Menear",NA,NA,NA,"Craig","Menear",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"2/2/15","10/5/20",214,14982,536170,NA,NA,NA,NA,211,"HD","HOME DEPOT INC","CEO","Craig Menear","Caucasian/White",0,1,1,0,"M",0,3,"Yes",NA,"BoardEx"
15,"QRVO","QORVO INC",NA,"QORVO INC","64853",0,"CAUCASIAN/WHITE","Bob Bruggeworth",NA,NA,NA,"Bob","Bruggeworth",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/2/15",NA,409,2204149,181113,NA,NA,NA,NA,365,"QRVO","QORVO INC","CEO","Bob Bruggeworth","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
16,"AFL","AFLAC INC",NA,NA,"1449",0,"CAUCASIAN/WHITE",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
